page,seq_in_page,match_prefix,jurisdiction,list_context,wait_2024,wait_2023
135,0,dublin,High Court,Personal Injury (trial venue),,
135,1,cork,High Court,Personal Injury (trial venue),,
135,2,dundalk,High Court,Personal Injury (trial venue),,
135,3,galway,High Court,Personal Injury (trial venue),,
135,4,kilkenny,High Court,Personal Injury (trial venue),,
135,5,limerick,High Court,Personal Injury (trial venue),,
135,6,sligo,High Court,Personal Injury (trial venue),,
135,7,applications to appoint,High Court,Insolvency — corporate (examinership / winding up),,
135,8,applications to wind,High Court,Insolvency — corporate (examinership / winding up),,
135,9,restrict directors,High Court,Other corporate applications,,
136,0,applications to issue,High Court,Insolvency — personal (bankruptcy),,
136,1,applications for adjud,High Court,Insolvency — personal (bankruptcy),,
136,2,liberty to enter,High Court,Commercial List,,
136,3,monday motion,High Court,Competition List,,
136,4,monday motion,High Court,Chancery,,
136,5,hearing of cert,High Court,Chancery,,
136,6,special summonses (master,High Court,Chancery,,
136,7,special summonses (high,High Court,Chancery,,
137,0,special summons for poss,High Court,Possession,,
137,1,full hearing,High Court,Possession,,
137,2,special summons for well,High Court,Mortgage suits,,
137,3,full hearing,High Court,Mortgage suits,,
137,4,miscellaneous,High Court,Non-jury (contract / negligence / debt),,
137,5,full hearing,High Court,Non-jury (contract / negligence / debt),,
137,6,full hearing,High Court,Non-jury (contract / negligence / debt),,
137,7,full hearing,High Court,Appeals from the Circuit Court,,
138,0,pre-leave,High Court,Judicial review — asylum related,,
138,1,post-leave,High Court,Judicial review — asylum related,,
138,2,pre-leave,High Court,Judicial review — other,,
138,3,post-leave,High Court,Judicial review — other,,
138,4,the time from when,High Court,Jury (defamation / false imprisonment / assault),,
138,5,full hearing,High Court,Garda Compensation Act,,
138,6,the time from receipt,High Court,Proceeds of Crime Act,,
138,7,motions,High Court,Master's Court,,
139,0,the time from the issue,High Court,Common law motions,,
139,1,urgent applications,High Court,Family,,
139,2,non-contested,High Court,Family,,
139,3,contested cases,High Court,Family,,
139,4,applications under hague,High Court,Family,,
139,5,appeals from circuit,High Court,Family,,
140,0,appeals*,Court of Appeal,Civil appeals,,
140,1,fast tracked,Court of Appeal,Civil appeals,,
140,2,appeals,Court of Appeal,Criminal appeals,,
140,3,article 40,Court of Appeal,Criminal appeals,,
140,4,european arrest,Court of Appeal,Criminal appeals,,
139,-1,Priority/Custody cases,Central Criminal Court,Criminal trials,44 weeks,55 weeks
139,-2,Bail cases,Central Criminal Court,Criminal trials,49 weeks,71 weeks
139,-3,Juvenile/Priority,Central Criminal Court,Criminal trials,24 weeks,
