circular_no,circular_title,department,rule_type,published_on,si_year,si_number,si_id,circular_source_url,circular_pdf_url,source_licence,extraction_note
02/2022,02/2022 Circular EUIPR 02/2022 - Planning and Development Act 2000 (Exempted Development)(Number 2) Regulations 2022,department-of-housing-local-government-and-heritage,planning_rule,1 April 2022,1981,390,1981-390,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-euipr-022022-planning-and-development-act-2000-exempted-developmentnumber-2-regulations-2022/,https://assets.gov.ie/static/documents/circular-euipr-022022-planning-and-development-act-2000-exempted-developmentnumber-2-r.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
25/2002,PDA 2024 Commencement Circular No 2A re An Coimisiún Pleanála (updated 2 July 2025),department-of-housing-local-government-and-heritage,act_commencement,3 July 2025,1993,419,1993-419,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pda-2024-commencement-circular-no-2a-re-an-coimisi%C3%BAn-plean%C3%A1la-updated-2-july-2025/,https://assets.gov.ie/static/documents/PDA_2024_Commencement_Circular_No_2A_re_An_Coimisi%C3%BAn_Plean%C3%A1la_updated_2_July_2025.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
12/2024,Circular 12/2024 Arrangements for Occupational Supplementary Pensions (OSP),department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation,funding_scheme,24 July 2024,1996,312,1996-312,https://www.gov.ie/en/department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation/circulars/circular-122024-arrangements-for-occupational-supplementary-pensions-osp/,https://assets.gov.ie/static/documents/circular-122024-arrangements-for-occupational-supplementary-pensions-osp.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
01/2023,01/2023 Circular PGO 01/2023 - Land Development Agency Act 2021 – Part 9 Planning Condition – Delivery of Affordable Housing on Relevant Pub,department-of-housing-local-government-and-heritage,funding_scheme,3 April 2023,1997,496,1997-496,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pgo-012023-land-development-agency-act-2021-part-9-planning-condition-delivery-of-affordable-housing-on-relevant-public-land-and-part-7-disposal-of-relevant-public-land-first-refusal-of-lda/,https://assets.gov.ie/static/documents/circular-pgo-012023-land-development-agency-act-2021-part-9-planning-condition-deliver.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,2024 Circular S.5 2024 Compulsory Retirement Age of Full Time Firefighters and Increase in Fast Accruals,department-of-housing-local-government-and-heritage,funding_scheme,16 December 2024,1998,455,1998-455,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-s5-2024-compulsory-retirement-age-of-full-time-firefighters-and-increase-in-fast-accruals/,https://assets.gov.ie/static/documents/circular-s5-2024-compulsory-retirement-age-of-full-time-firefighters-and-increase-in-f.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,Circular LG 06-2020 - Adjustment to Members’ Representational Payment from 1 October 2020,department-of-housing-local-government-and-heritage,other_guidance,24 September 2020,2001,552,2001-552,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-lg-06-2020-adjustment-to-members-representational-payment-from-1-october-2020/,https://assets.gov.ie/static/documents/circular-lg-06-2020-adjustment-to-members-representational-payment-from-1-october-2020.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
09/2023,PL 09/2023 Circular PL 09/2023 re S.I. No. 376/2023 Exempted Development Regulations,department-of-housing-local-government-and-heritage,planning_rule,4 August 2023,2001,600,2001-600,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-092023-re-si-no-3762023-exempted-development-regulations/,https://assets.gov.ie/static/documents/planning-and-development-exempted-development-no-4-regulations-2023.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,04 Planning and Development Act 2024 Commencement Circular No. 2025 04 Partial commencement of Parts 3 and 6,department-of-housing-local-government-and-heritage,act_commencement,6 October 2025,2001,600,2001-600,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-act-2024-commencement-circular-no-2025-04-partial-commencement-of-parts-3-and-6/,https://assets.gov.ie/static/documents/7817fc9b/PDA_2024_Commencement_Circular_No._2025_04_Partial_commencement_of_Parts_3_an.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
05/2025,5/2025 CEPP 5/2025 Circular Letter European Union (Land Use Planning SEA) Regulations 2025,department-of-housing-local-government-and-heritage,planning_rule,7 October 2025,2001,600,2001-600,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/cepp-52025-circular-letter-european-union-land-use-planning-sea-regulations-2025/,https://assets.gov.ie/static/documents/c1a2db01/CEPP_5_2025_Circular_Letter_European_Union_Land_Use_Planning_SEA_Regulations_.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,4-2020 EUIPR 4-2020 - Amendments to Substitute Consent provisions,department-of-housing-local-government-and-heritage,planning_rule,24 December 2020,2001,600,2001-600,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/euipr-4-2020-amendments-to-substitute-consent-provisions/,https://assets.gov.ie/static/documents/appendix-1-planning-and-development-amendment-no-2-regulations-2020.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
