local_authority,meeting_date,item_context,motion_snippet,proposer,seconder,outcome,topics,tally_for,tally_against,tally_abstain,rollcall,source_url,source_status
Carlow,2026 May,"Monday, 13th April 2026","Proposed by Cllr. B. O’Donovan, Seconded by Cllr. J. Pender, Following a show of hands, it was agreed:- “That the Minutes of the monthly meeting of Carlow County Council held in the Council Chamber on Monday 13th April 2026 at 2.00 p.m. having been circul",B. O’Donovan,J. Pender,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,2.1   Approval of Travel to Lodi Italy,"Proposed by Cllr. M. Doran, Seconded by Cllr. B. Ward, And following a show of hands it was agreed:- “Approval of travel for the Cathaoirleach and Mayor or their nominees to travel to Lodi, Italy. 2.2 Approval of travel to Echternach Proposed by Cl",M. Doran,B. Ward,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,2.2   Approval of travel to Echternach,"Proposed by Cllr. B. Ward, Seconded by Cllr. M. Doran, And following a show of hands it was agreed:- “Approval of travel for the Cathaoirleach and Mayor or their nominees to travel Echternach, Luxembourg. 2.3 Section 11 of the Roads Act, 1993; Sectio",B. Ward,M. Doran,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,Carlow (Phase 2) (Units 94 – 147),"Proposed by Cllr. F. Browne, Seconded by Cllr. P. Doogue, And following a show of hands it was agreed:- “That we the Members of Carlow County Council approve in accordance with Section 11 of the Roads Act, 1993, Section 180 of the Planning and Developmen",F. Browne,P. Doogue,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,"Units 1 to 10) Ballinkillen, Co. Carlow.","Proposed by Cllr. T. Kinsella, Seconded by Cllr. W. Quinn, And following a show of hands it was agreed:- “That we the Members of Carlow County Council approve in accordance with Section 11 of the Roads Act, 1993, Section 180 of the Planning and Development",T. Kinsella,W. Quinn,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,"Minor modification to correct mapping (zoning) error on Map B11.1 Land Use Zoning, relating","Proposed by Cllr. J. Pender, Seconded by Cllr. B. O’Donoghue, And agreed following a show of hands: “To approve the recommendation of the Chief Executive relating to submissions (CLW-C191-1, CLW-C191-2, CLW-C191-3, CLW-C191-5, CLW-C191-6, CLW-C191-7, CLW-",J. Pender,B. O’Donoghue,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,‘Enterprise and Employment’ to ‘New Residential’ was considered and a,"Proposed by Cllr. B. O’Donoghue, Seconded by Cllr. B. Ward, A roll call vote was taken:- Member of Carlow County Council For Against Abstain Absent Fergal Browne √ John Cassin √ Andrea Dalton √ Jim Deane ",B. O’Donoghue,B. Ward,,economic_tourism,,,,True,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,Elected Members set out their reasons for disagreeing with the,"Proposed by Cllr. B. Ward, Seconded by Cllr. J. Pender, A roll call vote was taken: Member of Carlow County Council For Against Abstain Absent Fergal Browne √ John Cassin √ Andrea Dalton √ Jim Deane √ ",B. Ward,J. Pender,,,,,,True,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,Meeting on 11th May 2026,"on the proposal of Councillor B. Ward, seconded by Councillor J. Pender, with 16 members voting in favour, 0 members voting against and 2 members abstaining, and to proceed in accordance with Section 13 of the Planning and Development Act 2000 (as amended) ",B. Ward,J. Pender,,,,,,True,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,3.2   Training and Conference Approvals,"Proposed by Cllr. F. Browne, Seconded by Cllr. B. O’Donovan, And agreed following a show of hands. No Organised By Venue Theme Dates Fee 1 Drogheda Civic Trust St. Peters C.O.I Conference Centre ""Shared Horizons: Building the Future Together",F. Browne,B. O’Donovan,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
