local_authority,tier,clean_minutes,roster_councillors,has_votes
Carlow,roll_call,3,14,True
Cavan,proposer_seconder,1,9,False
Clare,proposer_seconder,3,30,False
Cork City,proposer_seconder,34,10,False
Cork County,proposer_seconder,1,53,False
Donegal,proposer_seconder,20,33,False
Dublin City,proposer_seconder,0,60,False
Dún Laoghaire-Rathdown,proposer_seconder,0,24,False
Fingal,proposer_seconder,0,33,False
Galway City,proposer_seconder,0,5,False
Galway County,proposer_seconder,0,33,False
Kerry,proposer_seconder,16,33,False
Kildare,proposer_seconder,13,47,False
Kilkenny,proposer_seconder,14,20,False
Laois,proposer_seconder,10,13,False
Leitrim,proposer_seconder,2,19,False
Limerick,proposer_seconder,0,9,False
Longford,proposer_seconder,0,18,False
Louth,proposer_seconder,0,12,False
Mayo,proposer_seconder,0,32,False
Meath,proposer_seconder,0,37,False
Monaghan,proposer_seconder,19,11,False
Offaly,proposer_seconder,1,21,False
Roscommon,proposer_seconder,0,18,False
Sligo,proposer_seconder,0,6,False
South Dublin,proposer_seconder,1,31,False
Tipperary,proposer_seconder,0,34,False
Waterford,proposer_seconder,12,15,False
Westmeath,proposer_seconder,0,21,False
Wexford,proposer_seconder,0,33,False
Wicklow,proposer_seconder,0,29,False
