local_authority,meeting,doc_type,power_class,power_type,n_hits,source_status
Carlow,Minutes%20Carlow%20County%20Council%20May%202026.pdf,plenary_minutes,reserved_real_devplan,reserved,24,text
Carlow,Minutes%20Carlow%20County%20Council%20May%202026.pdf,plenary_minutes,exec_noted_mgmt,executive,2,text
Carlow,Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,plenary_minutes,reserved_veto_s183,reserved,7,text
Carlow,Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,plenary_minutes,exec_noted_annual,executive,1,text
Carlow,Minutes%20Carlow%20County%20Council%20January%202026.pdf,plenary_minutes,reserved_veto_s183,reserved,4,text
Kerry,dec17.pdf,plenary_minutes,reserved_real_budget,reserved,3,text
Kerry,dec17.pdf,plenary_minutes,reserved_real_lpt,reserved,8,text
Kerry,dec17.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Kerry,nov17.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Kerry,nov17.pdf,plenary_minutes,reserved_real_lpt,reserved,1,text
Kerry,nov17.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Kerry,nov17.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Kerry,budgetnov17.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Kerry,budgetnov17.pdf,plenary_minutes,reserved_real_lpt,reserved,23,text
Kerry,budgetnov17.pdf,plenary_minutes,reserved_real_rates,reserved,6,text
Kerry,budgetnov17.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Kerry,lpt.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Kerry,lpt.pdf,plenary_minutes,reserved_real_lpt,reserved,136,text
Kerry,lpt.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Kerry,sept17.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Kerry,sept17.pdf,plenary_minutes,reserved_veto_s183,reserved,4,text
Kerry,spjuly17.pdf,plenary_minutes,reserved_real_lpt,reserved,1,text
Kerry,spjuly17.pdf,plenary_minutes,exec_noted_mgmt,executive,2,text
Kerry,july17.pdf,plenary_minutes,reserved_real_lpt,reserved,3,text
Kerry,juneord17.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Kerry,juneord17.pdf,plenary_minutes,exec_noted_mgmt,executive,1,text
Kerry,may17.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Kerry,may17.pdf,plenary_minutes,exec_noted_mgmt,executive,1,text
Kerry,apr17.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Kerry,apr17.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Kerry,apr17.pdf,plenary_minutes,reserved_veto_s183,reserved,8,text
Kerry,apr17.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Kerry,apr17.pdf,plenary_minutes,exec_noted_mgmt,executive,1,text
Kerry,mar17.pdf,plenary_minutes,exec_noted_mgmt,executive,1,text
Kerry,feb17.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Kerry,feb17.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Kerry,feb17.pdf,plenary_minutes,reserved_real_lpt,reserved,2,text
Kerry,feb17.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Kerry,feb17.pdf,plenary_minutes,exec_noted_mgmt,executive,1,text
Kerry,jan17.pdf,plenary_minutes,reserved_real_lpt,reserved,3,text
Kerry,jan17.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Kerry,jan17.pdf,plenary_minutes,exec_noted_mgmt,executive,1,text
Leitrim,Chief-Executive-Monthly-Management-Report-September-2025.pdf,plenary_minutes,reserved_veto_part8,reserved,8,text
Leitrim,Chief-Executive-Monthly-Management-Report-April-2025.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Monaghan,Monaghan-CoCo-Minutes-16-December-2024.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Monaghan,Monaghan-CoCo-Minutes-16-December-2024.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Monaghan,Minutes-Statutory-Budget-19-November-2024.pdf,plenary_minutes,reserved_real_budget,reserved,4,text
Monaghan,Minutes-Statutory-Budget-19-November-2024.pdf,plenary_minutes,reserved_real_lpt,reserved,1,text
Monaghan,Minutes-Statutory-Budget-19-November-2024.pdf,plenary_minutes,reserved_real_rates,reserved,3,text
Monaghan,Minutes-07-October-Council-meeting.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Monaghan,Minutes-Adjourned-Council-Meeting-16-September-2024.pdf,plenary_minutes,reserved_veto_s183,reserved,1,text
Monaghan,Minutes-02-September-2024.pdf,plenary_minutes,reserved_real_lpt,reserved,6,text
Monaghan,Minutes-02-September-2024.pdf,plenary_minutes,reserved_veto_part8,reserved,6,text
Monaghan,Minutes-08-July-2024.pdf,plenary_minutes,reserved_veto_part8,reserved,7,text
Monaghan,Minutes-04-June-2024.pdf,plenary_minutes,reserved_veto_s183,reserved,8,text
Monaghan,Minutes-07-May-2024.pdf,plenary_minutes,reserved_veto_s183,reserved,2,text
Monaghan,Minutes-07-May-2024.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Monaghan,Minutes-08-April-2024.pdf,plenary_minutes,reserved_veto_s183,reserved,6,text
Monaghan,Minutes-08-April-2024.pdf,plenary_minutes,reserved_veto_part8,reserved,6,text
Monaghan,Minutes-04-March-2024.pdf,plenary_minutes,reserved_veto_part8,reserved,9,text
Monaghan,Minutes-04-March-2024.pdf,plenary_minutes,exec_noted_mgmt,executive,1,text
Monaghan,Minutes-12-February-2024.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Monaghan,Minutes-12-February-2024.pdf,plenary_minutes,exec_noted_mgmt,executive,1,text
Monaghan,Minutes-12-February-2024.pdf,plenary_minutes,exec_noted_annual,executive,2,text
Monaghan,Minutes-08-January-2024.pdf,plenary_minutes,reserved_real_lpt,reserved,2,text
Monaghan,Minutes-08-January-2024.pdf,plenary_minutes,reserved_veto_s183,reserved,5,text
Monaghan,Minutes-08-January-2024.pdf,plenary_minutes,reserved_veto_part8,reserved,6,text
South Dublin,local-government-act-2001.pdf,plenary_minutes,reserved_real_budget,reserved,4,text
South Dublin,local-government-act-2001.pdf,plenary_minutes,reserved_real_rates,reserved,5,text
South Dublin,local-government-act-2001.pdf,plenary_minutes,reserved_veto_s183,reserved,6,text
South Dublin,local-government-act-2001.pdf,plenary_minutes,reserved_veto_part8,reserved,15,text
South Dublin,local-government-act-2001.pdf,plenary_minutes,requisition_s140,reserved,6,text
Clare,minutes-of-the-budget-2024-meeting-of-clare-county-council-53934.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Clare,minutes-of-the-budget-2024-meeting-of-clare-county-council-53934.pdf,plenary_minutes,reserved_real_lpt,reserved,6,text
Clare,minutes-of-the-budget-2024-meeting-of-clare-county-council-53934.pdf,plenary_minutes,reserved_real_rates,reserved,5,text
Clare,minutes-of-the-november-2023-monthly-meeting-of-clare-county-council-53933.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Clare,minutes-of-the-november-2023-monthly-meeting-of-clare-county-council-53933.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Clare,minutes-of-the-october-2023-monthly-meeting-of-clare-county-council-53932.pdf,plenary_minutes,reserved_veto_s183,reserved,10,text
Donegal,minutes-september-meeting-30924.pdf,plenary_minutes,reserved_real_budget,reserved,3,text
Donegal,minutes-september-meeting-30924.pdf,plenary_minutes,reserved_real_lpt,reserved,41,text
Donegal,minutes-september-meeting-30924.pdf,plenary_minutes,reserved_veto_s183,reserved,17,text
Donegal,minutes-september-meeting-30924.pdf,plenary_minutes,reserved_veto_part8,reserved,5,text
Donegal,minutes-november-meeting-251124.pdf,plenary_minutes,reserved_veto_s183,reserved,17,text
Donegal,minutes-november-meeting-251124.pdf,plenary_minutes,reserved_veto_part8,reserved,5,text
Donegal,minutes-annual-budget-meeting-041224.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Donegal,minutes-annual-budget-meeting-041224.pdf,plenary_minutes,reserved_real_lpt,reserved,6,text
Donegal,minutes-special-meeting-091224.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Donegal,minutes-adjourned-budget-meeting-091224.pdf,plenary_minutes,reserved_real_lpt,reserved,1,text
Donegal,minutes-adjourned-budget-meeting-121224.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Donegal,minutes-adjourned-budget-meeting-121224.pdf,plenary_minutes,reserved_real_rates,reserved,1,text
Donegal,minutes-january-meeting-270125-1.pdf,plenary_minutes,reserved_veto_s183,reserved,13,text
Donegal,minutes-january-meeting-270125-1.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Donegal,minutes-special-meeting-240225-1.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Donegal,minutes-march-meeting-310325.pdf,plenary_minutes,reserved_veto_s183,reserved,17,text
Donegal,minutes-march-meeting-310325.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Donegal,minutes-special-meeting-280425.pdf,plenary_minutes,reserved_veto_part8,reserved,3,text
Donegal,minutes-may-meeting-260525.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Donegal,minutes-may-meeting-260525.pdf,plenary_minutes,reserved_veto_s183,reserved,7,text
Donegal,minutes-may-meeting-260525.pdf,plenary_minutes,reserved_veto_part8,reserved,9,text
Donegal,minutes-special-meeting-280525.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Donegal,minutes-special-meeting-280525.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Donegal,minutes-special-meeting-280525.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Donegal,minutes-special-meeting-300625.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Kildare,Minutes  Special Meeting 15Dec2025  for circulation to Members.pdf,plenary_minutes,reserved_real_devplan,reserved,135,text
Kildare,Minutes  Special Meeting 15Dec2025  for circulation to Members.pdf,plenary_minutes,reserved_veto_part8,reserved,5,text
Kildare,Minutes  Special Meeting 15Dec2025  for circulation to Members.pdf,plenary_minutes,exec_noted_mgmt,executive,2,text
Kildare,24112025 Minutes November Monthly Meeting Full Council.pdf,plenary_minutes,reserved_veto_s183,reserved,20,text
Kildare,17112025  Minutes Budget 2026 Meeting Full Council.pdf,plenary_minutes,reserved_real_budget,reserved,10,text
Kildare,17112025  Minutes Budget 2026 Meeting Full Council.pdf,plenary_minutes,reserved_real_lpt,reserved,3,text
Kildare,17112025  Minutes Budget 2026 Meeting Full Council.pdf,plenary_minutes,reserved_real_rates,reserved,5,text
Kildare,20102025 Minutes October Monthly Meeting Full Council.pdf,plenary_minutes,reserved_veto_s183,reserved,4,text
Kildare,300625 Minutes June Full Council.pdf,plenary_minutes,reserved_veto_s183,reserved,4,text
Kildare,300625 Minutes June Full Council.pdf,plenary_minutes,exec_noted_annual,executive,3,text
Kildare,26052025 Minutes May Full Council.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Kildare,26052025 Minutes May Full Council.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Kildare,26052025 Minutes May Full Council.pdf,plenary_minutes,exec_noted_annual,executive,1,text
Kildare,280425 Minutes April Full Council.pdf,plenary_minutes,reserved_real_lpt,reserved,23,text
Kildare,310325 Minutes Special Meeting Kilcullen Settlement Plan.pdf,plenary_minutes,reserved_real_devplan,reserved,67,text
Kildare,270125 Minutes Kilcullen Settlement Plan Meeting.pdf,plenary_minutes,reserved_real_devplan,reserved,44,text
Kildare,270125 Minutes Kilcullen Settlement Plan Meeting.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Kilkenny,minutes-january-plenary-meeting-20012025.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Kilkenny,minutes-january-plenary-meeting-20012025.pdf,plenary_minutes,reserved_veto_s183,reserved,2,text
Kilkenny,minutes-january-plenary-meeting-20012025.pdf,plenary_minutes,reserved_veto_part8,reserved,6,text
Kilkenny,minutes-february-plenary-meeting-17022025.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Kilkenny,minutes-february-plenary-meeting-17022025.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Kilkenny,minutes-february-plenary-meeting-17022025.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Kilkenny,minutes-march-plenary-meeting-24032025.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Kilkenny,minutes-march-plenary-meeting-24032025.pdf,plenary_minutes,reserved_real_devplan,reserved,3,text
Kilkenny,minutes-march-plenary-meeting-24032025.pdf,plenary_minutes,reserved_veto_s183,reserved,1,text
Kilkenny,minutes-march-plenary-meeting-24032025.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Kilkenny,minutes-march-plenary-meeting-24032025.pdf,plenary_minutes,exec_noted_annual,executive,3,text
Kilkenny,3-minutes-april-plenary-meeting-28-04-2025.pdf,plenary_minutes,reserved_veto_s183,reserved,1,text
Kilkenny,3-minutes-april-plenary-meeting-28-04-2025.pdf,plenary_minutes,exec_noted_annual,executive,1,text
Kilkenny,3-minutes-may-plenary-meeting-19052025.pdf,plenary_minutes,reserved_veto_s183,reserved,1,text
Kilkenny,3-minutes-may-plenary-meeting-19052025.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Kilkenny,3-minutes-july-plenary-meeting-21072025.pdf,plenary_minutes,reserved_veto_s183,reserved,7,text
Kilkenny,3-minutes-july-plenary-meeting-21072025.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Kilkenny,3-minutes-september-plenary-meeting-15-09-2029.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Kilkenny,3-minutes-september-plenary-meeting-15-09-2029.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Kilkenny,3-minutes-september-plenary-meeting-15-09-2029.pdf,plenary_minutes,reserved_veto_s183,reserved,8,text
Kilkenny,3-minutes-september-plenary-meeting-15-09-2029.pdf,plenary_minutes,reserved_veto_part8,reserved,8,text
Kilkenny,3-minutes-statutory-budget-meeting-03-11-2025.pdf,plenary_minutes,reserved_real_budget,reserved,3,text
Kilkenny,3-minutes-statutory-budget-meeting-03-11-2025.pdf,plenary_minutes,reserved_real_rates,reserved,1,text
Kilkenny,3-minutes-november-plenary-meeting-17-11-2025.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Kilkenny,3-minutes-november-plenary-meeting-17-11-2025.pdf,plenary_minutes,reserved_veto_s183,reserved,2,text
Kilkenny,3-minutes-december-plenary-meeting-15-12-2025.pdf,plenary_minutes,reserved_real_devplan,reserved,3,text
Kilkenny,3-minutes-december-plenary-meeting-15-12-2025.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Kilkenny,3-minutes-january-plenary-meeting-19-01-2026.pdf,plenary_minutes,reserved_real_devplan,reserved,2,text
