local_authority,councillor,year,period,category,value,unit,source_url
Dublin City,Aishling Silke,2024,2024-Aug,meetings_attended,0.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Aug,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Aug,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Aug,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Aug,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Dec,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Dec,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Dec,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Dec,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Dec,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jul,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jul,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jul,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jul,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jul,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jun,petty_cash,42.66,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jun,total_payment,288.67,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jun,travel_subsistence,246.01,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Jun,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Nov,meetings_attended,5.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Nov,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Nov,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Nov,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Nov,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Oct,meetings_attended,3.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Oct,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Oct,total_payment,541.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Oct,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Oct,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Sep,deductions,144.16,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Sep,meetings_attended,2.0,meetings,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Sep,petty_cash,80.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Sep,total_payment,397.27,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Sep,travel_subsistence,461.43,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
Dublin City,Aishling Silke,2024,2024-Sep,vouched_expenses,0.0,EUR,https://data.smartdublin.ie/dataset/dde09824-b93d-43e9-a92b-a8645b89a9f2/resource/5a2b3568-3ff0-41bf-8363-653bb5dc86c1/download/councillor-expenses-payments-2024.csv
