local_authority,member,meeting_date,motion,vote,source_status,join_status
Carlow,Fergal Browne,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,John Cassin,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,Andrea Dalton,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,Jim Deane,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,Paul Doogue,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,Michael Doran,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,Andy Gladney,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,Thomas Kinsella,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,Ken Murnane,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",for,text,resolved
Carlow,Charlie Murphy,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward “To approve the recommendation of the Chief Executive regarding 2 no. submissions (No’s CLW-C178-5, CLW-C178-7) rezoning 0.66 ha from Open Space and Amenity to Ne",absent,text,resolved
