local_authority,lea,name,party,status,source
Carlow,Carlow,Fintan Phelan,Fianna Fáil,sitting,Carlow County Council
Carlow,Carlow,Andrea Dalton,Fianna Fáil,sitting,Carlow County Council
Carlow,Carlow,Fergal Browne,Fine Gael,sitting,Carlow County Council
Carlow,Carlow,John Cassin,Independent Ireland,sitting,Carlow County Council
Carlow,Carlow,Ken Murnane,Fianna Fáil,sitting,Carlow County Council
Carlow,Carlow,Paul Doogue,Fine Gael,sitting,Carlow County Council
Carlow,Carlow,Adrienne Wallace,PBP–Solidarity,sitting,Carlow County Council
Carlow,Muine Bheag,Thomas Kinsella,Fine Gael,sitting,Carlow County Council
Carlow,Muine Bheag,Willie Quinn,Labour,sitting,Carlow County Council
Carlow,Muine Bheag,Andy Gladney,Sinn Féin,sitting,Carlow County Council
Carlow,Muine Bheag,Daniel Pender,Fianna Fáil,sitting,Carlow County Council
Carlow,Muine Bheag,Michael Doran,Fine Gael,sitting,Carlow County Council
Carlow,Tullow,John Pender,Fianna Fáil,sitting,Carlow County Council
Carlow,Tullow,Charlie Murphy,Independent,sitting,Carlow County Council
Carlow,Tullow,William Paton,Independent,sitting,Carlow County Council
Carlow,Tullow,Ben Ward,Fine Gael,sitting,Carlow County Council
Carlow,Tullow,Brian O'Donoghue,Fine Gael,sitting,Carlow County Council
Carlow,Tullow,Jim Deane,Sinn Féin,sitting,Carlow County Council
Cavan,Bailieborough – Cootehill,Carmel Brady,Fine Gael,sitting,Cavan County Council
Cavan,Bailieborough – Cootehill,Stiofán Conaty,Sinn Féin,sitting,Cavan County Council
Cavan,Bailieborough – Cootehill,Val Smith,Fine Gael,sitting,Cavan County Council
Cavan,Bailieborough – Cootehill,Clifford Kelly,Fianna Fáil,sitting,Cavan County Council
Cavan,Bailieborough – Cootehill,Niall Smith,Fianna Fáil,sitting,Cavan County Council
Cavan,Ballyjamesduff,Shane P. O'Reilly,Independent Ireland,sitting,Cavan County Council
Cavan,Ballyjamesduff,Trevor Smith,Fine Gael,sitting,Cavan County Council
Cavan,Ballyjamesduff,Winston Bennet,Fine Gael,sitting,Cavan County Council
Cavan,Ballyjamesduff,Phillip Brady,Fianna Fáil,sitting,Cavan County Council
Cavan,Ballyjamesduff,T. P. O'Reilly,Fine Gael,sitting,Cavan County Council
Cavan,Ballyjamesduff,Noel Connell,Sinn Féin,sitting,Cavan County Council
Cavan,Cavan – Belturbet,Áine Smith,Fianna Fáil,sitting,Cavan County Council
Cavan,Cavan – Belturbet,Brendan Fay,Independent,sitting,Cavan County Council
Cavan,Cavan – Belturbet,Damien Brady,Sinn Féin,sitting,Cavan County Council
Cavan,Cavan – Belturbet,John Paul Feeley,Fianna Fáil,sitting,Cavan County Council
Cavan,Cavan – Belturbet,Niamh Brady,Fine Gael,sitting,Cavan County Council
Cavan,Cavan – Belturbet,Patricia Walsh,Fianna Fáil,sitting,Cavan County Council
Cavan,,Sarah O'Reilly,Aontú,sitting,Cavan County Council
Clare,Ennis,Pat Daly,Fianna Fáil,sitting,Clare County Council
Clare,Ennis,Mary Howard,Fine Gael,sitting,Clare County Council
Clare,Ennis,Paul Murphy,Fine Gael,sitting,Clare County Council
Clare,Ennis,Clare Colleran Molloy,Fianna Fáil,sitting,Clare County Council
Clare,Ennis,Tommy Guilfoyle,Sinn Féin,sitting,Clare County Council
Clare,Ennis,Antoinette Baker Bashua,Fianna Fáil,sitting,Clare County Council
Clare,Ennis,Tom O'Callaghan,Fianna Fáil,sitting,Clare County Council
Clare,Ennistymon,Bill Slattery,Fine Gael,sitting,Clare County Council
Clare,Ennistymon,Joe Garrihy,Fine Gael,sitting,Clare County Council
Clare,Ennistymon,Shane Talty,Fianna Fáil,sitting,Clare County Council
Clare,Ennistymon,Joe Killeen,Fianna Fáil,sitting,Clare County Council
Clare,Killaloe,Pat Hayes,Fianna Fáil,sitting,Clare County Council
Clare,Killaloe,Alan O'Callaghan,Fianna Fáil,sitting,Clare County Council
Clare,Killaloe,Tony O'Brien,Fianna Fáil,sitting,Clare County Council
Clare,Killaloe,Pat Burke,Fine Gael,sitting,Clare County Council
Clare,Kilrush,Dinny Gould,Independent,sitting,Clare County Council
Clare,Kilrush,Rita McInerney,Fianna Fáil,sitting,Clare County Council
Clare,Kilrush,Ian Lynch,Independent,sitting,Clare County Council
Clare,Kilrush,Michael Shannon,Fianna Fáil,sitting,Clare County Council
Clare,Kilrush,Gabriel Keating,Fine Gael,sitting,Clare County Council
Clare,Shannon,David Griffin,Fianna Fáil,sitting,Clare County Council
Clare,Shannon,John Crowe,Fine Gael,sitting,Clare County Council
Clare,Shannon,Rachel Hartigan,Fianna Fáil,sitting,Clare County Council
Clare,Shannon,Pat O'Gorman,Fianna Fáil,sitting,Clare County Council
Clare,Shannon,Tony Mulcahy,Fine Gael,sitting,Clare County Council
Clare,Shannon,Michael Begley,Independent,sitting,Clare County Council
Clare,,Donna McGettigan,Sinn Féin,sitting,Clare County Council
Clare,,Joe Cooney,Fine Gael,sitting,Clare County Council
Cork City,,Cork City North East,Independent Ireland,sitting,Cork City Council
Cork City,Cork City North East,John Maher,Labour,sitting,Cork City Council
Cork City,Cork City North East,Margaret McDonnell,Fianna Fáil,sitting,Cork City Council
Cork City,Cork City North East,Joe Kavanagh,Fine Gael,sitting,Cork City Council
Cork City,Cork City North West,Tony Fitzgerald,Fianna Fáil,sitting,Cork City Council
Cork City,Cork City North West,Damian Boylan,Fine Gael,sitting,Cork City Council
Cork City,Cork City North West,John Sheehan,Fianna Fáil,sitting,Cork City Council
Cork City,Cork City North West,Kenneth Collins,Sinn Féin,sitting,Cork City Council
Cork City,Cork City North West,Michelle Gould,Sinn Féin,sitting,Cork City Council
Cork City,Cork City North West,Brian McCarthy,PBP–Solidarity,sitting,Cork City Council
Cork City,Cork City South Central,Shane O'Callaghan,Fine Gael,sitting,Cork City Council
Cork City,Cork City South Central,Seán Martin,Fianna Fáil,sitting,Cork City Council
Cork City,,Cork City South Central,Social Democrats,sitting,Cork City Council
Cork City,Cork City South Central,Paudie Dineen,Independent,sitting,Cork City Council
Cork City,Cork City South Central,Fiona Kerins,Sinn Féin,sitting,Cork City Council
Cork City,Cork City South East,Terry Shannon,Fianna Fáil,sitting,Cork City Council
Cork City,Cork City South East,Kieran McCarthy,Independent,sitting,Cork City Council
Cork City,Cork City South East,Mary Rose Desmond,Fianna Fáil,sitting,Cork City Council
Cork City,Cork City South East,Des Cahill,Fine Gael,sitting,Cork City Council
Cork City,Cork City South East,Peter Horgan,Labour,sitting,Cork City Council
Cork City,Cork City South West,Fergal Dennehy,Fianna Fáil,sitting,Cork City Council
Cork City,Cork City South West,Colm Kelleher,Fianna Fáil,sitting,Cork City Council
Cork City,,Cork City South West,Fine Gael,sitting,Cork City Council
Cork City,Cork City South West,Joe Lynch,Sinn Féin,sitting,Cork City Council
Cork City,Cork City South West,Terry Coleman,Fianna Fáil,sitting,Cork City Council
Cork City,Cork City South West,Albert Deasy,Independent,sitting,Cork City Council
Cork City,,Ken O'Flynn,Independent Ireland,sitting,Cork City Council
Cork City,,Pádraig Rice,Social Democrats,sitting,Cork City Council
Cork City,,Laura Harmon,Labour,sitting,Cork City Council
Cork City,,Garret Kelleher,Fine Gael,sitting,Cork City Council
Cork City,,Ted Tynan,Independent,sitting,Cork City Council
Cork County,Bandon – Kinsale,Alan Coleman,Independent,sitting,Cork County Council
Cork County,Bandon – Kinsale,John Collins,Independent Ireland,sitting,Cork County Council
Cork County,Bandon – Kinsale,John Michael Foley,Fine Gael,sitting,Cork County Council
Cork County,Bandon – Kinsale,Ann Bambury,Social Democrats,sitting,Cork County Council
Cork County,Bandon – Kinsale,Gillian Coughlan,Fianna Fáil,sitting,Cork County Council
Cork County,Bandon – Kinsale,Marie O'Sullivan,Fine Gael,sitting,Cork County Council
Cork County,Bantry – West Cork,Danny Collins,Independent Ireland,sitting,Cork County Council
Cork County,Bantry – West Cork,Finbarr Harrington,Independent,sitting,Cork County Council
Cork County,Bantry – West Cork,Caroline Cronin,Fine Gael,sitting,Cork County Council
Cork County,Carrigaline,Ben Dalton O'Sullivan,Independent,sitting,Cork County Council
Cork County,Carrigaline,Jack White,Fine Gael,sitting,Cork County Council
Cork County,Carrigaline,Audrey Buckley,Fianna Fáil,sitting,Cork County Council
Cork County,Carrigaline,Úna McCarthy,Fine Gael,sitting,Cork County Council
Cork County,Carrigaline,Eoghan Fahy,Sinn Féin,sitting,Cork County Council
Cork County,Cobh,Sheila O'Callaghan,Fianna Fáil,sitting,Cork County Council
Cork County,Cobh,Anthony Barry,Fine Gael,sitting,Cork County Council
Cork County,Cobh,Sinéad Sheppard,Fine Gael,sitting,Cork County Council
Cork County,Cobh,Cathal Rasmussen,Labour,sitting,Cork County Council
Cork County,Cobh,Ger Curley,Independent Ireland,sitting,Cork County Council
