brand,parent_fund,fund_type
Promontoria,Cerberus,vulture fund
Everyday Finance,Cerberus,credit servicer
Beltany,Goldman Sachs,vulture fund
Ennis Property Finance,Goldman Sachs,vulture fund
Kenmare Property Finance,Goldman Sachs,vulture fund
Havbell,Apollo,vulture fund
Shoreline Residential,Lone Star,vulture fund
LSREF,Lone Star,vulture fund
Tanager,Lone Star,vulture fund
Start Mortgages,Lone Star,credit servicer
Mars Capital,Oaktree,credit servicer
Pepper,Pepper Advantage,credit servicer
Link ASI,Link Group,credit servicer
Bank of Ireland,Bank of Ireland,Irish bank
Allied Irish Bank,AIB,Irish bank
AIB,AIB,Irish bank
Permanent TSB,Permanent TSB,Irish bank
EBS,AIB,Irish bank
Ulster Bank,Ulster Bank,Irish bank (winding down)
KBC,KBC Bank Ireland,Irish bank (exited)
ACC Bank,ACC Bank,Irish bank (exited)
Danske,Danske Bank,Irish bank (exited)
NAMA,NAMA,state asset manager
IBRC,IBRC,state asset manager
