action,department,file_name,file_url,listing_url,period_year_guess,period_month_guess,n_pages,parse_status
ocr,DCCS,Minister_ODonovans_Diary_01_April__30_June.pdf,https://assets.gov.ie/static/documents/Minister_ODonovans_Diary_01_April__30_June.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,,4,18,scanned_needs_offbox_ocr
ocr,DCCS,Minister_ODonovans_Diary_01_January_-_31_March.pdf,https://assets.gov.ie/static/documents/f318329e/Minister_ODonovans_Diary_01_January_-_31_March.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,,1,18,scanned_needs_offbox_ocr
ocr,DCCS,Minister_ODonovans_Diary_01_January_-_31_March.pdf,https://assets.gov.ie/static/documents/Minister_ODonovans_Diary_01_January_-_31_March.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,,1,18,scanned_needs_offbox_ocr
ocr,DCCS,Minister_ODonovans_Diary_01_July_-_5th_October.pdf,https://assets.gov.ie/static/documents/c33160e3/Minister_ODonovans_Diary_01_July_-_5th_October.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,,7,15,scanned_needs_offbox_ocr
ocr,DCCS,Ministers_Diary_Q4.pdf,https://assets.gov.ie/static/documents/a7c51470/Ministers_Diary_Q4.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,,,16,scanned_needs_offbox_ocr
ocr,DCCS,minister-chambers-diary-1-february-17-october-2021.pdf,https://assets.gov.ie/static/documents/minister-chambers-diary-1-february-17-october-2021.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,2021,2,37,scanned_needs_offbox_ocr
ocr,DCCS,minister-chambers-diary-15-july-2020-7-february-2021.pdf,https://assets.gov.ie/static/documents/minister-chambers-diary-15-july-2020-7-february-2021.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,2020,7,29,scanned_needs_offbox_ocr
ocr,DCCS,minister-chambers-diary-18-july-2022-18-december-2022-f1b0b856-f676-4615-8e83-6bbfba4a.pdf,https://assets.gov.ie/static/documents/minister-chambers-diary-18-july-2022-18-december-2022-f1b0b856-f676-4615-8e83-6bbfba4a.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,2022,7,22,scanned_needs_offbox_ocr
ocr,DCCS,minister-chambers-diary-18-october-31-december-2021.pdf,https://assets.gov.ie/static/documents/minister-chambers-diary-18-october-31-december-2021.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,2021,10,11,scanned_needs_offbox_ocr
ocr,DCCS,minister-chambers-diary-27-december-2021-17-july-2022.pdf,https://assets.gov.ie/static/documents/minister-chambers-diary-27-december-2021-17-july-2022.pdf,https://www.gov.ie/en/department-of-culture-communications-and-sport/organisation-information/ministers-diaries/,2021,12,29,scanned_needs_offbox_ocr
