local_authority,plan_name,plan_type,stage,plan_outcome,doc_title,doc_date,doc_url
Clare,Clare County Development Plan 2023-2029,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Clare CDP 2023-2029,2023-04,https://www.opr.ie/wp-content/uploads/2023/04/1-OPR-Proposed-draft-Direction-Clare-CDP-2023-2029.pdf
Clare,Clare County Development Plan 2023-2029,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Clare CDP 2023-2029,2023-04,https://www.opr.ie/wp-content/uploads/2023/04/2-Ministers-draft-Direction-Clare-CDP-2023-2029.pdf
Clare,Clare County Development Plan 2023-2029,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Clare CDP 2023-2029,2023-08,https://www.opr.ie/wp-content/uploads/2023/08/2023.06.27-Notice-Letter-s31AN4-of-the-PDA-Clare-CDP-2023-2029-AD-005-22.pdf
Clare,Clare County Development Plan 2023-2029,development_plan,minister_final_direction,direction_issued,Minister’s Direction Clare CDP 2023-2029,2023-08,https://www.opr.ie/wp-content/uploads/2023/08/2023.08.03-S.-31-Final-Direction-Letter-to-CE-Clare.pdf
Cork City,Cork City Development Plan 2022-2028,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Cork City DP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-Proposed-draft-Direction-Cork-City-DP-2022-2028.pdf
Cork City,Cork City Development Plan 2022-2028,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Cork City DP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Cork-City-DP-2022-2028.pdf
Cork City,Cork City Development Plan 2022-2028,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Cork City DP 2022-2028,2022-12,https://www.opr.ie/wp-content/uploads/2022/12/3-OPR-Proposed-Direction-Cork-City-DP-2022-2028.pdf
Cork City,Cork City Development Plan 2022-2028,development_plan,minister_final_direction,direction_issued,Minister’s Direction Cork City DP 2022-2028,2022-12,https://www.opr.ie/wp-content/uploads/2022/12/4-Ministers-Direction-Cork-City-DP-2022-2028.pdf
Cork County,Cork County Development Plan 2014-2020 (Variation no. 2),variation,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Var.2 Cork CDP 2014-2020,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/OPR-Proposed-draft-Direction-Var.2-Cork-CDP-2014-2020.pdf
Cork County,Cork County Development Plan 2014-2020 (Variation no. 2),variation,minister_draft_direction,direction_issued,Minister’s draft Direction Var.2 Cork CDP 2014-2020,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/Ministers-draft-Direction-Var.2-Cork-CDP-2014-2020.pdf
Cork County,Cork County Development Plan 2014-2020 (Variation no. 2),variation,opr_proposed_final,direction_issued,OPR Proposed Direction Var.2 Cork CDP 2014-2020,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/OPR-Proposed-Direction-Var.2-Cork-CDP-2014-2020-1.pdf
Cork County,Cork County Development Plan 2014-2020 (Variation no. 2),variation,minister_final_direction,direction_issued,Minister’s Direction Var.2 Cork CDP 2014-2020,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/Ministers-Direction-Var.2-Cork-CDP-2014-2020.pdf
Cork County,Cork County Development Plan 2022-2028,development_plan,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Cork CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/1-OPR-draft-Direction-Cork-CDP-2022-2028.pdf
Cork County,Cork County Development Plan 2022-2028,development_plan,minister_draft_direction,direction_issued,Minister’s draft Direction Cork CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/2-Ministers-draft-Direction-Cork-CDP-2022-2028.pdf
Cork County,Cork County Development Plan 2022-2028,development_plan,opr_proposed_final,direction_issued,OPR Proposed Direction Cork CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/3-OPR-Proposed-Direction-Cork-CDP-2022-2028.pdf
Cork County,Cork County Development Plan 2022-2028,development_plan,minister_final_direction,direction_issued,Minister’s Direction Cork CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/4-Ministers-Direction-Cork-CDP-2022-2028.pdf
Cork County,Cork County Development Plan 2022-2028,development_plan,statement_of_reasons,direction_issued,Minister’s Statement of Reasons Direction Cork CDP 2022-2028,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/5-Ministers-Statement-of-Reasons-Direction-Cork-CDP-2022-2028.pdf
Donegal,Donegal County Development Plan 2018 - 2024 (Variation no. 2),variation,opr_proposed_draft,direction_issued,OPR Proposed draft Direction Var.2 Donegal CDP 2018-2024,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/OPR-Propoosed-draft-Direction-Var.2-Donegal-CDP-2018-2025.pdf
Donegal,Donegal County Development Plan 2018 - 2024 (Variation no. 2),variation,minister_draft_direction,direction_issued,Minister’s draft Direction Var.2 Donegal CDP 2018-2024,2022-11,https://www.opr.ie/wp-content/uploads/2022/11/Ministers-draft-Direction-Direction-Var.2-Donegal-CDP-2018-2025.pdf
