payee_norm,company_num,payee_example,cro_company_name,overlap
CO T A ALAY ENTERPRISES,115322,& CO T/A ALAY ENTERPRISES LTD,ALAY ENTERPRISES LIMITED,1.0
O NEILL,127505,& O'NEILL,A.N. O'NEILL LIMITED,1.0
13 13 GLANMORE FOODS,355469,13-13 GLANMORE FOODS,GLANMORE FOODS LIMITED,1.0
39 34 GLANMORE FOODS,355469,39-34 GLANMORE FOODS,GLANMORE FOODS LIMITED,1.0
ACCENTURE UK,340745,ACCENTURE UK LTD,ACCENTURE LIMITED,1.0
AON SOLUTIONS UK,356441,AON SOLUTIONS UK LTD,AON SOLUTIONS IRELAND LIMITED,1.0
ARTHIAN UK,909331,ARTHIAN LTD-UK,ARTHIAN LTD,1.0
ARTHURSTOWN CONSTRUCTION CO,80129,ARTHURSTOWN CONSTRUCTION CO LTD,ARTHURSTOWN CONSTRUCTION LIMITED,1.0
ACCENT FACILITIES SOLUTIONS T A ACCENT SOLUTIONS,496682,Accent Facilities Solutions Ltd T/A Accent Solutions,ACCENT FACILITIES SOLUTIONS LIMITED,1.0
BANQUETING FOOD SYSTEMS T A,263563,BANQUETING FOOD SYSTEMS T/A,BANQUETING FOOD SYSTEMS LIMITED,1.0
BOWE SYSTEC,325812,BOWE SYSTEC IRELAND LTD,BOWE-SYSTEC (IR) LIMITED,1.0
BANNER IT,906095,Banner Ireland IT,BANNER GROUP LIMITED,1.0
C HENDRICK,40283,C Hendrick Ltd,J. & C. HENDRICK LIMITED,1.0
CDHC CLOTHING T A DV,410696,CDHC CLOTHING LTD T/A DV,CDHC CLOTHING LIMITED,1.0
CGA SOFTWARE T A,499071,CGA SOFTWARE LTD T/A,CGA SOFTWARE LIMITED,1.0
CGA SOFTWARE T A CGA,499071,CGA SOFTWARE LTD T/A CGA,CGA SOFTWARE LIMITED,1.0
CONSERVATION 1 BAT,494343,CONSERVATION IRELAND (1) Bat,BAT CONSERVATION IRELAND,1.0
CORE FULL SOLUTIONS T A CORE,507996,CORE FULL SOLUTIONS T/A CORE,CORE FULL SOLUTIONS LIMITED,1.0
CUMMINS CO,163004,CUMMINS & CO LTD,J.N. CUMMINS AND CO. LIMITED,1.0
CUSTOMER SOLUTIONS CAPITA,377757,CUSTOMER SOLUTIONS Capita,CAPITA CUSTOMER SOLUTIONS LIMITED,1.0
CIRCET NETWORKS KN NETWORKS,303841,Circet Networks  KN Networks,CIRCET NETWORKS (IRELAND) LIMITED,1.0
DAMOVO T A DAMOVO,93134,DAMOVO T/A DAMOVO IRELAND LTD,DAMOVO IRELAND LIMITED,1.0
DSS T A CODEC,107629,DSS LTD T/A CODEC,CODEC-DSS LIMITED,1.0
DATAPAC IT,86946,Datapac Ltd IT,DATAPAC LIMITED,1.0
DEGREES DESIGN,321530,Degrees Design Ltd,53 DEGREES DESIGN LIMITED,1.0
DIACOM COMPUTER TELEPHONY IT,295661,Diacom Computer Telephony Ltd IT,DIACOM COMPUTER TELEPHONY LIMITED,1.0
DIACOM IT,157937,Diacom IT,DIACOM LIMITED,1.0
ELLIOTT BUILDING CIVIL ENGINEERING L,492169,ELLIOTT BUILDING AND CIVIL ENGINEERING L,ELLIOTT BUILDING AND CIVIL ENGINEERING LIMITED,1.0
EPI USE UK,403626,EPI-USE LTD-UK,EPI-USE IRELAND LIMITED,1.0
EDELIA COACHING T A EDELIA,563644,Edelia Coaching Ltd T/A Edelia Group,EDELIA COACHING LIMITED,1.0
FLOOD IT,34491,Flood Ireland Ltd IT,M. J. FLOOD (IRELAND) LIMITED,1.0
FLOOD TECHNOLOGY,234128,Flood Technology Ltd.,M.J. FLOOD TECHNOLOGY LIMITED,1.0
T A SKODA,43013,GROUP IRELAND LTD T/A SKODA IRELAND,SKODA (IRELAND) LIMITED,1.0
HEATING PLUMBING,489940,HEATING & PLUMBING,H & R HEATING & PLUMBING LIMITED,1.0
IMAGE SUPPLY SYSTEMS AV,305756,IMAGE SUPPLY SYSTEMS AV,IMAGE SUPPLY SYSTEMS A.V. LIMITED,1.0
20 LINKEDIN,477441,IRELAND 20 LinkedIn,LINKEDIN IRELAND UNLIMITED COMPANY,1.0
IMAGE SUPPLY SYSTEMS IT,305756,Image Supply Systems Ltd IT,IMAGE SUPPLY SYSTEMS A.V. LIMITED,1.0
IN CATERING,451898,In Catering,VK CATERING LIMITED,1.0
INTERACTIVE DISPLAYS T A,599666,Interactive Displays Ireland T/A,INTERACTIVE DISPLAYS IRELAND LIMITED,1.0
