payee_norm,payee_example,canonical_body,body_type,paid_eur_observed
HIGHER EDUCATION AUTHORITY,HIGHER EDUCATION AUTHORITY,Higher Education Authority,statutory_body,207379103.0
EFSF,EFSF,European Financial Stability Facility,intergov_transfer,119081307.0
FORAS PATRUNACHTA,FORAS PATRUNACHTA,An Foras Patrunachta,statutory_body,1937990.0
COMPTROLLER AUDITOR GENERAL,Comptroller and Auditor General,Comptroller & Auditor General,constitutional_office,1710000.0
NDFA NTMA,NDFA / NTMA,NTMA / NDFA,state_agency,678539.0
HOUSES OIREACHTAS,Houses of the Oireachtas,Houses of the Oireachtas,constitutional_office,504402.0
189953 1 POBAL,189953-1 Pobal,Pobal,state_agency,362481.0
190657 1 POBAL,190657-1 Pobal,Pobal,state_agency,251562.0
COUNCIL EUROPE,COUNCIL OF EUROPE,Council of Europe,intergov_transfer,249534.0
NTMA,NTMA,National Treasury Management Agency,state_agency,210773.0
IRISH RESEARCH COUNCIL,Irish Research Council,Irish Research Council,statutory_body,203852.0
POBAL,POBAL,Pobal,state_agency,193500.0
TEAGASC,TEAGASC,Teagasc,state_agency,150701.0
TEAGASC OAK PARK,TEAGASC (OAK PARK),Teagasc,state_agency,146201.0
COMPTROLLER AUDITOR,COMPTROLLER & AUDITOR,Comptroller & Auditor General,constitutional_office,139100.0
TEAGASC FOOD RESEARCH CENTRE,Teagasc Food Research Centre,Teagasc,state_agency,111794.0
TEACHING COUNCIL,TEACHING COUNCIL,The Teaching Council,statutory_body,69713.0
TEAGASC RECEIPTS,TEAGASC RECEIPTS,Teagasc,state_agency,68595.0
HERITAGE COUNCIL,THE HERITAGE COUNCIL,The Heritage Council,statutory_body,60000.0
COMPTROLLER,Comptroller and,Comptroller & Auditor General,constitutional_office,46800.0
HEALTH SAFETY AUTHORITY,HEALTH & SAFETY AUTHORITY,Health & Safety Authority,statutory_body,43117.0
POR 0013350 TEAGASC FOOD RESEARCH CENTRE,POR-0013350 Teagasc Food Research Centre,Teagasc,state_agency,40121.0
GARDA SIOCHANA,GARDA SIOCHANA,An Garda Siochana,state_body,40000.0
OFFICE COMPTROLLER AUDITOR,OFFICE COMPTROLLER & AUDITOR,Comptroller & Auditor General,constitutional_office,30700.0
BIODIVERSITY HERITAGE COUNCIL,(Biodiversity Ireland) THE HERITAGE COUNCIL,The Heritage Council,statutory_body,30000.0
CO ORDINATOR HERITAGE COUNCIL,co-ordinator THE HERITAGE COUNCIL,The Heritage Council,statutory_body,25000.0
PENSION AUTHORITY,The Pension Authority,The Pensions Authority,statutory_body,21956.0
