# SCSI/Teagasc Annual Agricultural Land Market Review & Outlook 2026 — county land values 2025.
# Source: https://scsi.ie/wp-content/uploads/2026/04/SCSI-Teagasc-Annual-Agricultural-Land-Market-Review-Outlook-2026.pdf
# Tables 6 (Leinster, p28), 7 (Munster, p29), 8 (Connacht/Ulster, p29). Retrieved 2026-09-03.
# Survey of 169 SCSI auctioneers/valuers (Feb-Mar 2026 for the 2025 year); AVERAGE values per
# acre for NON-RESIDENTIAL agricultural land, by plot-size band and land quality. Dublin is
# excluded by the source. This is survey opinion of typical values, not transaction records —
# Extracted band at best; never present as a valuation of any specific parcel.
# Transcribed by hand from the PDF tables; the <50ac slice cross-checks 25/25 against the
# report's own county map (p4), and county good/poor means reproduce the report's headline
# figures (Wexford 19226, Kildare 19200, Leitrim 3772) exactly.
# (c) SCSI/Teagasc — no open licence stated; cleared for internal analysis only until the
# owner confirms reuse terms for customer-facing output.
# size_band: lt50 = less than 50 acres, 50_100 = between 50 and 100 acres, gt100 = over 100 acres.
survey_year,county,province,size_band,quality,eur_per_acre
2025,Louth,Leinster,lt50,poor,10250
2025,Louth,Leinster,lt50,good,17250
2025,Louth,Leinster,50_100,poor,5500
2025,Louth,Leinster,50_100,good,18625
2025,Louth,Leinster,gt100,poor,5500
2025,Louth,Leinster,gt100,good,17125
2025,Meath,Leinster,lt50,poor,11063
2025,Meath,Leinster,lt50,good,18364
2025,Meath,Leinster,50_100,poor,10438
2025,Meath,Leinster,50_100,good,17250
2025,Meath,Leinster,gt100,poor,10286
2025,Meath,Leinster,gt100,good,18389
2025,Wicklow,Leinster,lt50,poor,8125
2025,Wicklow,Leinster,lt50,good,14100
2025,Wicklow,Leinster,50_100,poor,8500
2025,Wicklow,Leinster,50_100,good,14713
2025,Wicklow,Leinster,gt100,poor,8667
2025,Wicklow,Leinster,gt100,good,16088
2025,Wexford,Leinster,lt50,poor,9750
2025,Wexford,Leinster,lt50,good,18260
2025,Wexford,Leinster,50_100,poor,8650
2025,Wexford,Leinster,50_100,good,18750
2025,Wexford,Leinster,gt100,poor,9533
2025,Wexford,Leinster,gt100,good,20667
2025,Kildare,Leinster,lt50,poor,10400
2025,Kildare,Leinster,lt50,good,19100
2025,Kildare,Leinster,50_100,poor,9940
2025,Kildare,Leinster,50_100,good,19250
2025,Kildare,Leinster,gt100,poor,9740
2025,Kildare,Leinster,gt100,good,19250
2025,Carlow,Leinster,lt50,poor,8250
2025,Carlow,Leinster,lt50,good,18300
2025,Carlow,Leinster,50_100,poor,8500
2025,Carlow,Leinster,50_100,good,18375
2025,Carlow,Leinster,gt100,poor,8500
2025,Carlow,Leinster,gt100,good,17500
2025,Kilkenny,Leinster,lt50,poor,7946
2025,Kilkenny,Leinster,lt50,good,16625
2025,Kilkenny,Leinster,50_100,poor,8500
2025,Kilkenny,Leinster,50_100,good,19250
2025,Kilkenny,Leinster,gt100,poor,11000
2025,Kilkenny,Leinster,gt100,good,19250
2025,Laois,Leinster,lt50,poor,8166
2025,Laois,Leinster,lt50,good,17750
2025,Laois,Leinster,50_100,poor,7930
2025,Laois,Leinster,50_100,good,17060
2025,Laois,Leinster,gt100,poor,6680
2025,Laois,Leinster,gt100,good,16100
2025,Offaly,Leinster,lt50,poor,6000
2025,Offaly,Leinster,lt50,good,14300
2025,Offaly,Leinster,50_100,poor,6125
2025,Offaly,Leinster,50_100,good,12450
2025,Offaly,Leinster,gt100,poor,5375
2025,Offaly,Leinster,gt100,good,13138
2025,Westmeath,Leinster,lt50,poor,7500
2025,Westmeath,Leinster,lt50,good,15500
2025,Westmeath,Leinster,50_100,poor,7533
2025,Westmeath,Leinster,50_100,good,13500
2025,Westmeath,Leinster,gt100,poor,8050
2025,Westmeath,Leinster,gt100,good,15750
2025,Longford,Leinster,lt50,poor,6000
2025,Longford,Leinster,lt50,good,11625
2025,Longford,Leinster,50_100,poor,8283
2025,Longford,Leinster,50_100,good,12250
2025,Longford,Leinster,gt100,poor,8675
2025,Longford,Leinster,gt100,good,12000
2025,Waterford,Munster,lt50,poor,8000
2025,Waterford,Munster,lt50,good,16667
2025,Waterford,Munster,50_100,poor,9500
2025,Waterford,Munster,50_100,good,16833
2025,Waterford,Munster,gt100,poor,9667
2025,Waterford,Munster,gt100,good,16500
2025,Cork,Munster,lt50,poor,8750
2025,Cork,Munster,lt50,good,17250
2025,Cork,Munster,50_100,poor,7900
2025,Cork,Munster,50_100,good,17125
2025,Cork,Munster,gt100,poor,7400
2025,Cork,Munster,gt100,good,16875
2025,Kerry,Munster,lt50,poor,6625
2025,Kerry,Munster,lt50,good,14000
2025,Kerry,Munster,50_100,poor,6400
2025,Kerry,Munster,50_100,good,14000
2025,Kerry,Munster,gt100,poor,5400
2025,Kerry,Munster,gt100,good,15333
2025,Tipperary,Munster,lt50,poor,7600
2025,Tipperary,Munster,lt50,good,18779
2025,Tipperary,Munster,50_100,poor,6570
2025,Tipperary,Munster,50_100,good,17950
2025,Tipperary,Munster,gt100,poor,6220
2025,Tipperary,Munster,gt100,good,17458
2025,Limerick,Munster,lt50,poor,6250
2025,Limerick,Munster,lt50,good,17000
2025,Limerick,Munster,50_100,poor,4833
2025,Limerick,Munster,50_100,good,13875
2025,Limerick,Munster,gt100,poor,4167
2025,Limerick,Munster,gt100,good,14884
2025,Clare,Munster,lt50,poor,7250
2025,Clare,Munster,lt50,good,11333
2025,Clare,Munster,50_100,poor,6233
2025,Clare,Munster,50_100,good,11033
2025,Clare,Munster,gt100,poor,4850
2025,Clare,Munster,gt100,good,10367
2025,Galway,Connacht/Ulster,lt50,poor,5833
2025,Galway,Connacht/Ulster,lt50,good,11083
2025,Galway,Connacht/Ulster,50_100,poor,4813
2025,Galway,Connacht/Ulster,50_100,good,10583
2025,Galway,Connacht/Ulster,gt100,poor,3500
2025,Galway,Connacht/Ulster,gt100,good,9800
2025,Leitrim,Connacht/Ulster,lt50,poor,3675
2025,Leitrim,Connacht/Ulster,lt50,good,8167
2025,Leitrim,Connacht/Ulster,50_100,poor,4117
2025,Leitrim,Connacht/Ulster,50_100,good,7850
2025,Leitrim,Connacht/Ulster,gt100,poor,3525
2025,Leitrim,Connacht/Ulster,gt100,good,6375
2025,Cavan,Connacht/Ulster,lt50,poor,7125
