identifier,first_name,last_name,sitting_days_attendance,other_days_attendance,year,iso_sitting_days_attendance,iso_other_days_attendance
Ahearn_Ciarán,Ciarán,Ahearn,18/12/2024,,2024,2024-12-18,
Ahearn_Ciarán,Ciarán,Ahearn,,05/12/2024,2024,,2024-12-05
Ahearn_Ciarán,Ciarán,Ahearn,,06/12/2024,2024,,2024-12-06
Ahearn_Ciarán,Ciarán,Ahearn,,09/12/2024,2024,,2024-12-09
Ahearn_Ciarán,Ciarán,Ahearn,,10/12/2024,2024,,2024-12-10
Ahearn_Ciarán,Ciarán,Ahearn,,12/12/2024,2024,,2024-12-12
Ahearn_Ciarán,Ciarán,Ahearn,,13/12/2024,2024,,2024-12-13
Ahearn_Ciarán,Ciarán,Ahearn,,16/12/2024,2024,,2024-12-16
Ahearn_Ciarán,Ciarán,Ahearn,,17/12/2024,2024,,2024-12-17
Ahearn_Ciarán,Ciarán,Ahearn,,20/12/2024,2024,,2024-12-20
Ahearn_Ciarán,Ciarán,Ahearn,,23/12/2024,2024,,2024-12-23
Ahearn_Ciarán,Ciarán,Ahearn,23/01/2025,,2025,2025-01-23,
Ahearn_Ciarán,Ciarán,Ahearn,05/02/2025,,2025,2025-02-05,
Ahearn_Ciarán,Ciarán,Ahearn,06/02/2025,,2025,2025-02-06,
Ahearn_Ciarán,Ciarán,Ahearn,11/02/2025,,2025,2025-02-11,
Ahearn_Ciarán,Ciarán,Ahearn,12/02/2025,,2025,2025-02-12,
Ahearn_Ciarán,Ciarán,Ahearn,13/02/2025,,2025,2025-02-13,
Ahearn_Ciarán,Ciarán,Ahearn,18/02/2025,,2025,2025-02-18,
Ahearn_Ciarán,Ciarán,Ahearn,19/02/2025,,2025,2025-02-19,
Ahearn_Ciarán,Ciarán,Ahearn,20/02/2025,,2025,2025-02-20,
Ahearn_Ciarán,Ciarán,Ahearn,25/02/2025,,2025,2025-02-25,
Ahearn_Ciarán,Ciarán,Ahearn,26/02/2025,,2025,2025-02-26,
Ahearn_Ciarán,Ciarán,Ahearn,27/02/2025,,2025,2025-02-27,
Ahearn_Ciarán,Ciarán,Ahearn,,14/01/2025,2025,,2025-01-14
Ahearn_Ciarán,Ciarán,Ahearn,,15/01/2025,2025,,2025-01-15
Ahearn_Ciarán,Ciarán,Ahearn,,16/01/2025,2025,,2025-01-16
Ahearn_Ciarán,Ciarán,Ahearn,,17/01/2025,2025,,2025-01-17
Ahearn_Ciarán,Ciarán,Ahearn,,21/01/2025,2025,,2025-01-21
Ahearn_Ciarán,Ciarán,Ahearn,,28/01/2025,2025,,2025-01-28
Ahearn_Ciarán,Ciarán,Ahearn,,31/01/2025,2025,,2025-01-31
Ahearn_Ciarán,Ciarán,Ahearn,,04/02/2025,2025,,2025-02-04
Ahearn_Ciarán,Ciarán,Ahearn,,07/02/2025,2025,,2025-02-07
Ahearn_Ciarán,Ciarán,Ahearn,,14/02/2025,2025,,2025-02-14
Ahearn_Ciarán,Ciarán,Ahearn,,24/02/2025,2025,,2025-02-24
