unique_member_code,last_name,full_name,first_name,date_of_death,membership_start_date,membership_end_date,constituency_name,constituency_code,dail_code,dail_term,dail_chamber_type,dail_number,party,party_code,party_start_date,party_end_date,committee_1_expiry_type,committee_1_status,committee_1_member_start_date,committee_1_member_end_date,committee_1_name_en,committee_1_name_start_date,committee_1_name_end_date,committee_1_start_date,committee_1_end_date,committee_1_type,committee_1_main_status,committee_2_expiry_type,committee_2_status,committee_2_member_start_date,committee_2_member_end_date,committee_2_name_en,committee_2_name_start_date,committee_2_name_end_date,committee_2_start_date,committee_2_end_date,committee_2_type,committee_2_main_status,committee_3_expiry_type,committee_3_status,committee_3_member_start_date,committee_3_member_end_date,committee_3_name_en,committee_3_name_start_date,committee_3_name_end_date,committee_3_start_date,committee_3_end_date,committee_3_type,committee_3_main_status,committee_1_role_title,committee_1_role_start_date,committee_1_role_end_date,committee_3_role_title,committee_3_role_start_date,committee_3_role_end_date,committee_4_expiry_type,committee_4_status,committee_4_member_start_date,committee_4_member_end_date,committee_4_name_en,committee_4_name_start_date,committee_4_name_end_date,committee_4_start_date,committee_4_end_date,committee_4_type,committee_4_main_status,office_1_name,office_1_start_date,office_1_end_date,committee_1_alt_name_en,committee_1_alt_name_start_date,committee_1_alt_name_end_date,committee_4_alt_name_en,committee_4_alt_name_start_date,committee_4_alt_name_end_date,committee_5_expiry_type,committee_5_status,committee_5_member_start_date,committee_5_member_end_date,committee_5_name_en,committee_5_name_start_date,committee_5_name_end_date,committee_5_start_date,committee_5_end_date,committee_5_type,committee_5_main_status,committee_6_expiry_type,committee_6_status,committee_6_member_start_date,committee_6_member_end_date,committee_6_name_en,committee_6_name_start_date,committee_6_name_end_date,committee_6_start_date,committee_6_end_date,committee_6_type,committee_6_main_status,committee_7_expiry_type,committee_7_status,committee_7_member_start_date,committee_7_member_end_date,committee_7_name_en,committee_7_name_start_date,committee_7_name_end_date,committee_7_start_date,committee_7_end_date,committee_7_type,committee_7_main_status,committee_8_expiry_type,committee_8_status,committee_8_member_start_date,committee_8_member_end_date,committee_8_name_en,committee_8_name_start_date,committee_8_name_end_date,committee_8_start_date,committee_8_end_date,committee_8_type,committee_8_main_status,committee_2_role_title,committee_2_role_start_date,committee_2_role_end_date,committee_4_role_title,committee_4_role_start_date,committee_4_role_end_date,committee_7_role_title,committee_7_role_start_date,committee_7_role_end_date,committee_9_expiry_type,committee_9_status,committee_9_member_start_date,committee_9_member_end_date,committee_9_name_en,committee_9_name_start_date,committee_9_name_end_date,committee_9_start_date,committee_9_end_date,committee_9_type,committee_9_main_status,committee_10_expiry_type,committee_10_status,committee_10_member_start_date,committee_10_member_end_date,committee_10_name_en,committee_10_name_start_date,committee_10_name_end_date,committee_10_start_date,committee_10_end_date,committee_10_type,committee_10_main_status,committee_10_role_title,office_2_name,office_2_start_date,office_2_end_date,committee_5_role_title,committee_5_role_start_date,committee_5_role_end_date,committee_6_role_title,committee_6_role_start_date,committee_6_role_end_date,office_3_name,office_3_start_date,office_3_end_date,office_4_name,office_4_start_date,office_4_end_date,committee_2_alt_name_en,committee_2_alt_name_start_date,committee_2_alt_name_end_date,committee_8_alt_name_en,committee_8_alt_name_start_date,committee_8_alt_name_end_date,committee_11_expiry_type,committee_11_status,committee_11_member_start_date,committee_11_member_end_date,committee_11_name_en,committee_11_name_start_date,committee_11_name_end_date,committee_11_start_date,committee_11_end_date,committee_11_type,committee_11_main_status,committee_11_role,committee_12_expiry_type,committee_12_status,committee_12_member_start_date,committee_12_member_end_date,committee_12_service_unit,committee_12_name_en,committee_12_name_start_date,committee_12_name_end_date,committee_12_start_date,committee_12_end_date,committee_12_type,committee_12_main_status,committee_12_role,committee_6_alt_name_en,committee_6_alt_name_start_date,committee_6_alt_name_end_date,committee_3_alt_name_en,committee_3_alt_name_start_date,committee_3_alt_name_end_date,office_5_start_date,office_5_end_date,office_5_name,office_6_start_date,office_6_end_date,office_6_name,party_1_name,party_1_code,party_1_start_date,party_1_end_date,party_2_name,party_2_code,party_2_start_date,party_2_end_date,committee_8_role_title,committee_8_role_start_date,committee_8_role_end_date,committee_12_role_title,committee_12_role_start_date,committee_12_role_end_date,ministerial_office,year_elected
Ciarán-Ahern.D.2024-11-29,Ahern,Ciarán Ahern,Ciarán,,2024-11-29,,Dublin South-West,Dublin-South-West,dail,34th Dáil,house,34,Labour Party,Labour_Party,2024-11-29,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Joint Committee on Climate, Environment and Energy",2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,Standing,Live - Primary,2025-05-07 00:00:00+00:00,,Committee on Members' Interests of Dáil Éireann,2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Statutory,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Select Committee on Climate, Environment and Energy",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
William-Aird.D.2024-11-29,Aird,William Aird,William,,2024-11-29,,Laois,Laois,dail,34th Dáil,house,34,Fine Gael,Fine_Gael,2024-11-29,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Joint Committee on Agriculture and Food,2025-05-01 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Joint Committee on Social Protection, Rural and Community Development",2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Select Committee on Agriculture and Food,2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,Leas-Chathaoirleach,2025-05-21 00:00:00+00:00,,Leas-Chathaoirleach,2025-05-21 00:00:00+00:00,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Select Committee on Social Protection, Rural and Community Development",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
Catherine-Ardagh.S.2016-04-25,Ardagh,Catherine Ardagh,Catherine,,2024-11-29,,Dublin South-Central,Dublin-South-Central,dail,34th Dáil,house,34,Fianna Fáil,Fianna_Fáil,2024-11-29,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,2026-05-28 00:00:00+00:00,"Joint Committee on Social Protection, Rural and Community Development",2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,Standing,Live - Primary,2025-05-07 00:00:00+00:00,2026-05-28 00:00:00+00:00,Committee of Public Accounts,2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Oversight,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,2026-05-28 00:00:00+00:00,"Select Committee on Social Protection, Rural and Community Development",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,,,,,,,,,,,,,,,,,,"Minister of State at the Department of Justice, Home Affairs and Migration",2026-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2016
Ivana-Bacik.S.2007-07-23,Bacik,Ivana Bacik,Ivana,,2024-11-29,,Dublin Bay South,Dublin-Bay-South,dail,34th Dáil,house,34,Labour Party,Labour_Party,2024-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2007
Cathy-Bennett.D.2024-11-29,Bennett,Cathy Bennett,Cathy,,2024-11-29,,Cavan-Monaghan,Cavan-Monaghan,dail,34th Dáil,house,34,Sinn Féin,Sinn_Féin,2024-11-29,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Joint Committee on Foreign Affairs and Trade,2025-05-01 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Select Committee on Foreign Affairs and Trade,2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,Standing,Live - Primary,2025-05-07 00:00:00+00:00,,Committee of Public Accounts,2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Oversight,Live,,,,,,,Standing transitional,Dissolved,2025-02-13 00:00:00+00:00,2025-05-07 00:00:00+00:00,Select Committee on Subsidiarity (European Union Legislative Scrutiny),2025-01-21 16:29:34.896666+00:00,,2025-01-23 00:00:00+00:00,2025-05-07 00:00:00+00:00,Shadow Department,Dissolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
Grace-Boland.D.2024-11-29,Boland,Grace Boland,Grace,,2024-11-29,,Dublin Fingal West,Dublin-Fingal-West,dail,34th Dáil,house,34,Fine Gael,Fine_Gael,2024-11-29,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Joint Committee on Children and Equality,2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Joint Committee on Transport,2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,Standing,Live - Primary,2025-05-07 00:00:00+00:00,,Committee of Public Accounts,2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Oversight,Live,,,,,,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Select Committee on Children and Equality,2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,,,,Joint Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Select Committee on Children and Equality,2025-05-01 00:00:00+00:00,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Select Committee on Transport,2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
Richard-Boyd-Barrett.D.2011-03-09,Boyd Barrett,Richard Boyd Barrett,Richard,,2024-11-29,,Dún Laoghaire,Dún-Laoghaire,dail,34th Dáil,house,34,People Before Profit-Solidarity,People_Before_Profit_Solidarity,2024-11-29,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Joint Committee on Housing, Local Government and Heritage",2025-05-01 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2026-02-05 00:00:00+00:00,,"Joint Committee on Further and Higher Education, Research, Innovation and Science",2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,Standing,Live - Primary,2025-01-16 00:00:00+00:00,,Business Committee (Dáil Éireann),2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Parliamentary Business and Committee Membership,Live,,,,,,,Standing,Live - Primary,2025-01-16 00:00:00+00:00,2025-01-16 00:00:00+00:00,Committee on Standing Orders and Dáil Reform,2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Parliamentary Regulation and Reform,Live,,,,,,,,,,Standing,Live - Primary,2025-05-07 00:00:00+00:00,,Committee on Budgetary Oversight,2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Oversight,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Select Committee on Housing, Local Government and Heritage",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,Standing,Live - Primary,2025-01-16 00:00:00+00:00,,Committee of Selection (Dáil Éireann),2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Parliamentary Business and Committee Membership,Live,Sessional,Live - Primary,2026-02-05 00:00:00+00:00,,"Select Committee on Further and Higher Education, Research, Innovation and Science",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2011
Tom-Brabazon.D.2024-11-29,Brabazon,Tom Brabazon,Tom,,2024-11-29,,Dublin Bay North,Dublin-Bay-North,dail,34th Dáil,house,34,Fianna Fáil,Fianna_Fáil,2024-11-29,,Special,Dissolved,2025-05-07 00:00:00+00:00,2026-06-24 00:00:00+00:00,Joint Committee on Drugs Use,2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,2026-06-24 00:00:00+00:00,Policy,Dissolved,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Joint Committee on Justice, Home Affairs and Migration",2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Joint Committee on Defence and National Security,2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,,,,,,,Sessional,Live - Primary,2026-07-15 00:00:00+00:00,,"Joint Committee on Social Protection, Rural and Community Development",2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,,,,,,,,,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Select Committee on Justice, Home Affairs and Migration",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Select Committee on Defence and National Security,2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,Special,Live - Primary,2025-05-07 00:00:00+00:00,2026-06-24 00:00:00+00:00,Select Committee on Drugs Use,2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Policy,Live,Sessional,Live - Primary,2026-07-15 00:00:00+00:00,,"Select Committee on Social Protection, Rural and Community Development",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
John-Brady.D.2016-10-03,Brady,John Brady,John,,2024-11-29,,Wicklow,Wicklow,dail,34th Dáil,house,34,Sinn Féin,Sinn_Féin,2024-11-29,,Standing,Live - Primary,2025-05-07 00:00:00+00:00,,Working Group of Committee Cathaoirligh,2025-01-29 00:00:00+00:00,,2025-02-12 00:00:00+00:00,,The Committee System and Parliamentary Administration,Live,Standing,Live - Primary,2025-05-07 00:00:00+00:00,,Committee of Public Accounts,2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Oversight,Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathaoirleach,2025-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2016
Brian-Brennan.D.2024-11-29,Brennan,Brian Brennan,Brian,,2024-11-29,,Wicklow-Wexford,Wicklow-Wexford,dail,34th Dáil,house,34,Fine Gael,Fine_Gael,2024-11-29,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Joint Committee on Foreign Affairs and Trade,2025-05-01 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Shadow Department,Live,Standing,Live - Primary,2026-01-29 00:00:00+00:00,,Joint Committee on Remit Oversight,2025-01-29 00:00:00+00:00,,2025-02-12 00:00:00+00:00,,Parliamentary Regulation and Reform,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Joint Committee on Arts, Media, Communications, Culture and Sport",2025-05-01 00:00:00+00:00,,2025-05-07 00:00:00+00:00,,Shadow Department,Live,,,,,,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Joint Committee on Enterprise, Tourism and Employment",2025-05-01 00:00:00+00:00,,2025-05-13 00:00:00+00:00,,Shadow Department,Live,,,,,,,,,,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Select Committee on Arts, Media, Communications, Culture and Sport",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,Select Committee on Foreign Affairs and Trade,2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,Sessional,Live - Primary,2025-05-07 00:00:00+00:00,,"Select Committee on Enterprise, Tourism and Employment",2025-05-01 00:00:00+00:00,,2025-04-30 00:00:00+00:00,,Shadow Department,Live,Standing,Live - Primary,2026-01-29 00:00:00+00:00,,Committee on Parliamentary Privileges and Oversight (Dáil Éireann),2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Parliamentary Regulation and Reform,Live,,,,Leas-Chathaoirleach,2025-05-28 00:00:00+00:00,,Leas-Chathaoirleach,2025-05-28 00:00:00+00:00,,Standing,Live - Primary,2026-01-29 00:00:00+00:00,,Committee on Remit Oversight (Dáil Éireann),2025-01-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Parliamentary Regulation and Reform,Live,Standing,Live - Primary,2026-01-28 00:00:00+00:00,,Committee on Standing Orders and Dáil Reform,2024-11-29 00:00:00+00:00,,2024-12-18 00:00:00+00:00,,Parliamentary Regulation and Reform,Live,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
