unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Sandra-McLellan.D.2011-03-09,Sandra,McLellan,Cork East,Sandra McLellan,Sinn Féin,false,2011,31,31,False
Olivia-Mitchell.D.1997-06-26,Olivia,Mitchell,Dublin South,Olivia Mitchell,Fine Gael,false,1997,31,31,False
Michelle-Mulherin.D.2011-03-09,Michelle,Mulherin,Mayo,Michelle Mulherin,Fine Gael,false,2011,31,"25,31",False
Dan-Neville.S.1989-10-01,Dan,Neville,Limerick,Dan Neville,Fine Gael,false,1989,31,31,False
Derek-Nolan.D.2011-03-09,Derek,Nolan,Galway West,Derek Nolan,Labour Party,false,2011,31,31,False
Nicky-McFadden.S.2007-07-23,Nicky,McFadden,Longford-Westmeath,Nicky McFadden,Fine Gael,false,2007,31,31,False
Seamus-Kirk.D.1982-12-14,Seamus,Kirk,Louth,Seamus Kirk,Fianna Fáil,false,1982,31,31,False
Michael-P-Kitt.D.1975-03-04,Michael P.,Kitt,Galway East,Michael P. Kitt,Fianna Fáil,false,1975,31,31,False
Anthony-Lawlor.D.2011-03-09,Anthony,Lawlor,Kildare North,Anthony Lawlor,Fine Gael,false,2011,31,"25,31",False
Brian-Lenihan.D.1996-04-02,Brian,Lenihan,Dublin West,Brian Lenihan,Fianna Fáil,false,1996,31,31,False
Ciaran-Lynch.D.2007-06-14,Ciaran,Lynch,Cork South-Central,Ciaran Lynch,Labour Party,false,2007,31,31,False
Kathleen-Lynch.D.1994-11-10,Kathleen,Lynch,Cork North-Central,Kathleen Lynch,Labour Party,false,1994,31,31,False
John-Lyons.D.2011-03-09,John,Lyons,Dublin North-West,John Lyons,Labour Party,false,2011,31,31,False
Eamonn-Maloney.D.2011-03-09,Eamonn,Maloney,Dublin South-West,Eamonn Maloney,Labour Party,false,2011,31,31,False
Peter-Mathews.D.2011-03-09,Peter,Mathews,Dublin South,Peter Mathews,Fine Gael,false,2011,31,31,False
Michael-McCarthy.S.2002-09-12,Michael,McCarthy,Cork South-West,Michael McCarthy,Labour Party,false,2002,31,31,False
Shane-McEntee.D.2005-03-11,Shane,McEntee,Meath East,Shane McEntee,Fine Gael,false,2005,31,31,False
Dinny-McGinley.D.1982-03-09,Dinny,McGinley,Donegal South-West,Dinny McGinley,Fine Gael,false,1982,31,31,False
Billy-Timmins.D.1997-06-26,Billy,Timmins,Wicklow,Billy Timmins,Fine Gael,false,1997,31,31,False
Joanna-Tuffy.S.2002-09-12,Joanna,Tuffy,Dublin Mid-West,Joanna Tuffy,Labour Party,false,2002,31,31,False
Liam-Twomey.D.2002-06-06,Liam,Twomey,Wexford,Liam Twomey,Fine Gael,false,2002,31,31,False
Jack-Wall.S.1993-02-17,Jack,Wall,Kildare South,Jack Wall,Labour Party,false,1993,31,31,False
Brian-Walsh.D.2011-03-09,Brian,Walsh,Galway West,Brian Walsh,Fine Gael,false,2011,31,31,False
Alex-White.S.2007-07-23,Alex,White,Dublin South,Alex White,Labour Party,true,2007,31,31,False
Emmet-Stagg.D.1987-03-10,Emmet,Stagg,Kildare North,Emmet Stagg,Labour Party,false,1987,31,31,False
Arthur-Spring.D.2011-03-09,Arthur,Spring,Kerry North-West Limerick,Arthur Spring,Labour Party,false,2011,31,31,False
John-O'Mahony.D.2007-06-14,John,O'Mahony,Mayo,John O'Mahony,Fine Gael,false,2007,31,"25,31",False
Joe-O'Reilly.S.1989-10-01,Joe,O'Reilly,Cavan-Monaghan,Joe O'Reilly,Fine Gael,false,1989,31,"25,26,27,31",False
John-Perry.D.1997-06-26,John,Perry,Sligo-North Leitrim,John Perry,Fine Gael,false,1997,31,31,False
Ann-Phelan.D.2011-03-09,Ann,Phelan,Carlow-Kilkenny,Ann Phelan,Labour Party,false,2011,31,31,False
Seán-Kenny.D.1992-12-14,Seán,Kenny,Dublin North-East,Seán Kenny,Labour Party,false,1992,31,31,False
Ruairí-Quinn.S.1976-07-01,Ruairí,Quinn,Dublin South-East,Ruairí Quinn,Labour Party,true,1976,31,31,False
Pat-Rabbitte.D.1989-06-29,Pat,Rabbitte,Dublin South-West,Pat Rabbitte,Labour Party,true,1989,31,31,False
James-Reilly.D.2007-06-14,James,Reilly,Dublin North,James Reilly,Fine Gael,true,2007,31,"25,31",False
Alan-Shatter.D.1981-06-30,Alan,Shatter,Dublin South,Alan Shatter,Fine Gael,true,1981,31,31,False
Sean-Conlan.D.2011-03-09,Sean,Conlan,Cavan-Monaghan,Sean Conlan,Fine Gael,false,2011,31,31,False
Paul-Connaughton.D.2011-03-09,Paul,Connaughton,Galway East,Paul Connaughton,Fine Gael,false,2011,31,31,False
Ciara-Conway.D.2011-03-09,Ciara,Conway,Waterford,Ciara Conway,Labour Party,false,2011,31,31,False
Noel-Coonan.S.2002-09-12,Noel,Coonan,Tipperary North,Noel Coonan,Fine Gael,false,2002,31,31,False
Joe-Costello.S.1989-10-01,Joe,Costello,Dublin Central,Joe Costello,Labour Party,false,1989,31,31,False
Michael-Conaghan.D.2011-03-09,Michael,Conaghan,Dublin South-Central,Michael Conaghan,Labour Party,false,2011,31,31,False
Jimmy-Deenihan.S.1983-02-23,Jimmy,Deenihan,Kerry North-West Limerick,Jimmy Deenihan,Fine Gael,true,1983,31,31,False
Lucinda-Creighton.D.2007-06-14,Lucinda,Creighton,Dublin South-East,Lucinda Creighton,Fine Gael,false,2007,31,31,False
Michael-Colreavy.D.2011-03-09,Michael,Colreavy,Sligo-North Leitrim,Michael Colreavy,Sinn Féin,false,2011,31,31,False
James-Bannon.S.2002-09-12,James,Bannon,Longford-Westmeath,James Bannon,Fine Gael,false,2002,31,31,False
Tom-Barry.D.2011-03-09,Tom,Barry,Cork East,Tom Barry,Fine Gael,false,2011,31,31,False
John-Browne.D.1982-12-14,John,Browne,Wexford,John Browne,Fianna Fáil,false,1982,31,31,False
Áine-Collins.D.2011-03-09,Áine,Collins,Cork North-West,Áine Collins,Fine Gael,false,2011,31,31,False
Eric-J-Byrne.D.1989-06-29,Eric J.,Byrne,Dublin South-Central,Eric J. Byrne,Labour Party,false,1989,31,31,False
Paudie-Coffey.S.2007-07-23,Paudie,Coffey,Waterford,Paudie Coffey,Fine Gael,false,2007,31,"25,31",False
Ray-Butler.D.2011-03-09,Ray,Butler,Meath West,Ray Butler,Fine Gael,false,2011,31,"25,31",False
Derek-Keating.D.2011-03-09,Derek,Keating,Dublin Mid-West,Derek Keating,Fine Gael,false,2011,31,31,False
Tom-Fleming.D.2011-03-09,Tom,Fleming,Kerry South,Tom Fleming,Independent,false,2011,31,31,False
Eamon-Gilmore.D.1989-06-29,Eamon,Gilmore,Dún Laoghaire,Eamon Gilmore,Labour Party,true,1989,31,31,False
Dominic-Hannigan.S.2007-07-23,Dominic,Hannigan,Meath East,Dominic Hannigan,Labour Party,false,2007,31,31,False
Noel-Harrington.D.2011-03-09,Noel,Harrington,Cork South-West,Noel Harrington,Fine Gael,false,2011,31,31,False
Brian-Hayes.S.1995-12-20,Brian,Hayes,Dublin South-West,Brian Hayes,Fine Gael,false,1995,31,31,False
Tom-Hayes.S.1997-09-17,Tom,Hayes,Tipperary South,Tom Hayes,Fine Gael,false,1997,31,31,False
Joe-Higgins.D.1997-06-26,Joe,Higgins,Dublin West,Joe Higgins,Socialist Party,false,1997,31,31,False
Terence-Flanagan.D.2007-06-14,Terence,Flanagan,Dublin North-East,Terence Flanagan,Fine Gael,false,2007,31,31,False
Kevin-Humphreys.D.2011-03-09,Kevin,Humphreys,Dublin South-East,Kevin Humphreys,Labour Party,false,2011,31,"25,31",False
Robert-Dowds.D.2011-03-09,Robert,Dowds,Dublin Mid-West,Robert Dowds,Labour Party,false,2011,31,31,False
Anne-Ferris.D.2011-03-09,Anne,Ferris,Wicklow,Anne Ferris,Labour Party,false,2011,31,31,False
Colm-Keaveney.D.2011-03-09,Colm,Keaveney,Galway East,Colm Keaveney,Labour Party,false,2011,31,31,False
Luke-'Ming'-Flanagan.D.2011-03-09,Luke 'Ming',Flanagan,Roscommon-South-Leitrim,Luke 'Ming' Flanagan,Independent,false,2011,31,31,False
Phil-Hogan.S.1987-04-25,Phil,Hogan,Carlow-Kilkenny,Phil Hogan,Fine Gael,true,1987,31,31,False
Patrick-Nulty.D.2011-10-27,Patrick,Nulty,Dublin West,Patrick Nulty,Independent,false,2011,31,31,False
