unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Louis-J-Belton.D.1989-06-29,Louis J.,Belton,Administrative Panel,Louis J. Belton,Fine Gael,false,1989,20,"20,28",False
Billy-Kelleher.S.1993-02-17,Billy,Kelleher,Nominated by the Taoiseach,Billy Kelleher,Fianna Fáil,false,1993,20,"20,28,29,30,31,32",False
Mary-Kelly.S.1997-01-28,Mary,Kelly,Cultural and Educational Panel,Mary Kelly,Labour Party,false,1997,20,20,False
Joe-Lee.S.1996-02-23,Joe,Lee,National University of Ireland,Joe Lee,Independent,false,1996,20,20,False
Patrick-Magner.S.1981-08-10,Patrick,Magner,Nominated by the Taoiseach,Patrick Magner,Labour Party,false,1981,20,20,False
Sean-Maloney.S.1993-02-17,Sean,Maloney,Labour Panel,Sean Maloney,Labour Party,false,1993,20,20,False
Marian-McGennis.S.1993-02-17,Marian,McGennis,Nominated by the Taoiseach,Marian McGennis,Fianna Fáil,false,1993,20,"20,28",False
Liam-Naughten.S.1981-10-08,Liam,Naughten,Agricultural Panel,Liam Naughten,Fine Gael,false,1981,20,20,False
Dan-Neville.S.1989-10-01,Dan,Neville,Labour Panel,Dan Neville,Fine Gael,false,1989,20,"20,28,29,30,31",False
Joe-Sherlock.D.1981-06-30,Joe,Sherlock,Labour Panel,Joe Sherlock,Democratic Left,false,1981,20,"20,29",False
Michael-O'Kennedy.S.1965-06-23,Michael,O'Kennedy,Administrative Panel,Michael O'Kennedy,Fianna Fáil,false,1965,20,"20,28",False
Jan-O'Sullivan.S.1993-02-17,Jan,O'Sullivan,Administrative Panel,Jan O'Sullivan,Labour Party,false,1993,20,"20,28,29,30,31,32",False
Gerry-Reynolds.S.1987-04-25,Gerry,Reynolds,Industrial and Commercial Panel,Gerry Reynolds,Fine Gael,false,1987,20,"20,28",False
Michael-Howard.S.1980-04-16,Michael,Howard,Industrial and Commercial Panel,Michael Howard,Fine Gael,false,1980,20,20,False
Dick-Roche.D.1987-03-10,Dick,Roche,Administrative Panel,Dick Roche,Fianna Fáil,false,1987,20,"20,28,29,30",False
Cathy-Honan.S.1997-01-28,Cathy,Honan,Industrial and Commercial Panel,Cathy Honan,Progressive Democrats,false,1997,20,20,False
G-V-Wright.S.1982-05-13,G. V.,Wright,Nominated by the Taoiseach,G. V. Wright,Fianna Fáil,false,1982,20,"20,28,29",False
Gordon-Wilson.S.1996-02-23,Gordon,Wilson,Nominated by the Taoiseach,Gordon Wilson,Independent,false,1996,20,20,False
Seán-Byrne.D.1982-03-09,Seán,Byrne,Nominated by the Taoiseach,Seán Byrne,Fianna Fáil,false,1982,20,20,False
Michael-Calnan.S.1993-02-17,Michael,Calnan,Agricultural Panel,Michael Calnan,Labour Party,false,1993,20,20,False
Bill-Cashin.S.1993-02-17,Bill,Cashin,Nominated by the Taoiseach,Bill Cashin,Labour Party,false,1993,20,20,False
Jack-Wall.S.1993-02-17,Jack,Wall,Nominated by the Taoiseach,Jack Wall,Labour Party,false,1993,20,"20,28,29,30,31",False
William-Cotter.D.1989-06-29,William,Cotter,Labour Panel,William Cotter,Fine Gael,false,1989,20,20,False
