client_name,primary_key,lobby_url,lobbying_firm,policy_areas,politicians_targeted,politicians_count,lobbying_period_start_date
"""Right to be forgotten"", part of the European Initiative on Ending Discrimination Against Cancer Survivors.  The European Initiative on Ending Discrimination Against Cancer Survivors led by Prof. Dr. Françoise Meunier and supported by the Fonds Cancer ASBL",109126,https://www.lobbying.ie/return/109126,RPP SRL,Health,Deirdre Clune,1,2024-01-01T00:00:00.000000
.IE,85496,https://www.lobbying.ie/return/85496,Pender & Associates Ltd,Economic Development and Industry,"Jean Carberry, Leo Varadkar",2,2022-01-01T00:00:00.000000
.IE,80094,https://www.lobbying.ie/return/80094,Pender & Associates Ltd,Economic Development and Industry,"Brian Murphy, Heather Humphreys, Leo Varadkar",3,2021-09-01T00:00:00.000000
.IE,76776,https://www.lobbying.ie/return/76776,Pender & Associates Ltd,Community,Damien English,1,2021-05-01T00:00:00.000000
.IE,76772,https://www.lobbying.ie/return/76772,Pender & Associates Ltd,Economic Development and Industry,"Bairbre Nic Aongusa, Brian Murphy, Ciarán Ó hÓbáin, Damien English, Heather Humphreys, Ossian Smyth, Philip O’Callaghan",7,2021-05-01T00:00:00.000000
.IE,72921,https://www.lobbying.ie/return/72921,Pender & Associates Ltd,Community,Leo Varadkar,1,2021-01-01T00:00:00.000000
.IE,72925,https://www.lobbying.ie/return/72925,Pender & Associates Ltd,Economic Development and Industry,"Ciarán Ó hÓbáin, Damien English, Darragh O'Brien, David Hegarty, Heather Humphreys, John Shaw, Kevin McCarthy, Leo Varadkar, Peter Burke, Robert Troy, William Parnell",11,2021-01-01T00:00:00.000000
1 CARRICKMINES LAND LIMITED,89438,https://www.lobbying.ie/return/89438,Lioncor Developments Limited,Development and Zoning,"Anne Devine, Frank Curran",2,2022-05-01T00:00:00.000000
1 Liffey Land Heights Limited,76770,https://www.lobbying.ie/return/76770,Lioncor Developments Limited,Development and Zoning,Joe Boland,1,2021-05-01T00:00:00.000000
1 SOUTHERN CROSS LAND LIMITED,139480,https://www.lobbying.ie/return/139480,Q4PR,Development and Zoning,John McDonald,1,2026-01-01T00:00:00.000000
