identifier,first_name,last_name,sitting_days_attendance,other_days_attendance,year,iso_sitting_days_attendance,iso_other_days_attendance
Ahearn_Garret,Garret,Ahearn,22/01/2024,02/01/2024,2024,2024-01-22,2024-01-02
Ahearn_Garret,Garret,Ahearn,23/01/2024,03/01/2024,2024,2024-01-23,2024-01-03
Ahearn_Garret,Garret,Ahearn,24/01/2024,09/01/2024,2024,2024-01-24,2024-01-09
Ahearn_Garret,Garret,Ahearn,30/01/2024,10/01/2024,2024,2024-01-30,2024-01-10
Ahearn_Garret,Garret,Ahearn,31/01/2024,12/01/2024,2024,2024-01-31,2024-01-12
Ahearn_Garret,Garret,Ahearn,01/02/2024,16/01/2024,2024,2024-02-01,2024-01-16
Ahearn_Garret,Garret,Ahearn,07/02/2024,17/01/2024,2024,2024-02-07,2024-01-17
Ahearn_Garret,Garret,Ahearn,08/02/2024,25/01/2024,2024,2024-02-08,2024-01-25
Ahearn_Garret,Garret,Ahearn,13/02/2024,06/02/2024,2024,2024-02-13,2024-02-06
Ahearn_Garret,Garret,Ahearn,14/02/2024,29/02/2024,2024,2024-02-14,2024-02-29
Ahearn_Garret,Garret,Ahearn,15/02/2024,,2024,2024-02-15,
Ahearn_Garret,Garret,Ahearn,20/02/2024,,2024,2024-02-20,
Ahearn_Garret,Garret,Ahearn,21/02/2024,,2024,2024-02-21,
Ahearn_Garret,Garret,Ahearn,27/02/2024,,2024,2024-02-27,
Ahearn_Garret,Garret,Ahearn,28/02/2024,,2024,2024-02-28,
Ardagh_Catherine,Catherine,Ardagh,22/01/2024,11/01/2024,2024,2024-01-22,2024-01-11
Ardagh_Catherine,Catherine,Ardagh,23/01/2024,16/01/2024,2024,2024-01-23,2024-01-16
Ardagh_Catherine,Catherine,Ardagh,24/01/2024,18/01/2024,2024,2024-01-24,2024-01-18
Ardagh_Catherine,Catherine,Ardagh,31/01/2024,19/01/2024,2024,2024-01-31,2024-01-19
Ardagh_Catherine,Catherine,Ardagh,01/02/2024,25/01/2024,2024,2024-02-01,2024-01-25
