TAA_Band,Narrative,Date_Paid,Amount,Position,Full_Name,join_key
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Ahern, Ciaran",aaacehinnrr
2,PSA January 2025,31/01/2025,"€3,972.08",Deputy,"Aird, William",aadiiillmrw
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Ardagh, Catherine",aaacdeeghhinrrt
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Bacik, Ivana",aaabciiknv
4,PSA January 2025,31/01/2025,"€4,168.25",Deputy,"Bennett, Cathy",abceehnnttty
1,PSA January 2025,31/01/2025,"€3,803.75",Deputy,"Boland, Grace",aabcdeglnor
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Boyd Barrett, Richard",aabbcddehiorrrrtty
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Brabazon, Tom",aabbmnoortz
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Brady, John",abdhjnory
3,PSA January 2025,31/01/2025,"€4,084.58",Deputy,"Brennan, Brian",aabbeinnnnrr
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Brennan, Shay",aabehnnnrsy
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Brophy, Colm",bchlmoopry
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Browne, James",abeejmnorsw
8,PSA January 2025,31/01/2025,"€4,309.58",Deputy,"Buckley, Pat",abceklptuy
MIN/8,PSA January 2025,31/01/2025,"€1,333.33",Deputy,"Burke, Colm",bceklmoru
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Burke, Peter",beeekprrtu
MIN,PSA Arrears Nov 2024,31/01/2025,€88.89,Minister,"Butler, Mary",abelmrrtuy
MIN,PSA Arrears Dec 2024,31/01/2025,"€1,333.33",Minister,"Butler, Mary",abelmrrtuy
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Butler, Mary",abelmrrtuy
2,PSA January 2025,31/01/2025,"€3,972.08",Deputy,"Butterly, Paula",aabellprttuuy
8/MIN,PSA January 2025,31/01/2025,"€4,309.58",Minister,"Buttimer, Jerry",beeijmrrrttuy
1,PSA January 2025,31/01/2025,"€3,803.75",Deputy,"Byrne, Joanna",aabejnnnory
3,PSA January 2025,31/01/2025,"€4,084.58",Deputy,"Byrne, Malcolm",abcellmmnory
MIN/1/MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Byrne, Thomas",abehmnorsty
10,PSA January 2025,31/01/2025,"€4,422.08",Deputy,"Cahill, Michael",aaccehhiilllm
11,PSA January 2025,31/01/2025,"€4,478.75",Deputy,"Cairns, Holly",achillnorsy
3,PSA January 2025,31/01/2025,"€4,084.58",Deputy,"Callaghan, Catherine",aaaacceeghhillnnrt
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Calleary, Dara",aaaacdellrry
7/MIN,PSA January 2025,31/01/2025,"€4,252.91",Minister,"Canney, Sean",aaceennnsy
3,PSA January 2025,31/01/2025,"€4,084.58",Deputy,"Carrigy, Micheál",acceghiilmrry
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Carroll MacNeill, Jennifer",aacceeefiijllllmnnnorrr
3,PSA January 2025,31/01/2025,"€4,084.58",Deputy,"Carthy, Matt",aachmrttty
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Chambers, Jack",aabccehjkmrs
2,PSA January 2025,31/01/2025,"€3,972.08",Deputy,"Clarke, Sorca",aacceklorrs
4,PSA January 2025,31/01/2025,"€4,168.25",Deputy,"Cleere, Peter 'Chap'",acceeeeehlpprrt
4,PSA January 2025,31/01/2025,"€4,168.25",Deputy,"Clendennen, John",cdeeehjlnnnnno
12,PSA January 2025,31/01/2025,"€4,534.58",Deputy,"Collins, Michael",accehiilllmnos
MIN/6/MIN,PSA January 2025,31/01/2025,"€1,333.33",Deputy,"Collins, Niall",aciillllnnos
6,PSA Arrears Dec 2024,31/01/2025,€85.58,Deputy,"Connolly, Catherine",acceehillnnnoorty
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"Connolly, Catherine",acceehillnnnoorty
7,PSA January 2025,31/01/2025,"€4,252.92",Deputy,"Connolly, John",chjllnnnoooy
10,PSA January 2025,31/01/2025,"€4,422.08",Deputy,"Conway-Walsh, Rose",aacehlnoorsswwy
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"Cooney, Joe",ceejnoooy
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Coppinger, Ruth",ceghinopprrtu
1,PSA January 2025,31/01/2025,"€3,803.75",Deputy,"Cronin, Reada",aacdeinnorr
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"Crowe, Cathal",aaccehlortw
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Crowe, Sean",aceenorsw
5,PSA January 2025,31/01/2025,"€4,197.08",Deputy,"Cullinane, David",aacddeiillnnuv
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Cummins, Jen",ceijmmnnsu
5/MIN,PSA January 2025,31/01/2025,"€4,197.08",Minister,"Cummins, John",chijmmnnosu
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Currie, Emer",ceeeimrrru
5,PSA January 2025,31/01/2025,"€4,197.08",Deputy,"Daly, Martin",aadilmnrty
9,PSA January 2025,31/01/2025,"€4,365.42",Deputy,"Daly, Pa",aadlpy
2,PSA January 2025,31/01/2025,"€3,972.08",Deputy,"Dempsey, Aisling",adeegiilmnpssy
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Devine, Maire",adeeeiimnrv
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Devlin, Cormac",accdeilmnorv
MIN/7/MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Dillon, Alan",aadilllnno
9,PSA January 2025,31/01/2025,"€4,365.42",Deputy,"Doherty, Pearse",adeeehoprrsty
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"Dolan, Albert",aabdellnort
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Donnelly, Paul",adelllnnopuy
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Donohoe, Paschal",aacdehhlnooops
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"Dooley, Timmy",deilmmootyy
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Ellis, Dessie",deeeiillsss
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"Farrell, Mairéad",aaadefillmrrr
1,PSA January 2025,31/01/2025,"€3,803.75",Deputy,"Farrelly, Aidan",aaadefillnrry
7,PSA January 2025,31/01/2025,"€4,252.92",Deputy,"Feighan, Frank",aaeffghiknnr
5,PSA January 2025,31/01/2025,"€4,197.08",Deputy,"Fitzmaurice, Michael",aacceefhiiilmmrtuz
MIN/3,PSA January 2025,31/01/2025,"€1,333.33",Deputy,"Fleming, Sean",aeefgilmnns
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Foley, Norma",aeflmnoory
9,PSA January 2025,31/01/2025,"€4,365.42",Deputy,"Gallagher, Pat 'The Cope'",aaaceeegghhllopprtt
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Gannon, Gary",aaggnnnory
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Geoghegan, James",aaeeeggghjmnos
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Gibney, Sinéad",abdegiinnsy
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Gogarty, Paul",aaggloprtuy
8,PSA January 2025,31/01/2025,"€4,309.58",Deputy,"Gould, Thomas",adghlmoostu
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Graves, Ann",aaegnnrsv
6/MIN,PSA January 2025,31/01/2025,"€4,225.00",Minister,"Grealish, Noel",aeeghillnors
3,PSA January 2025,31/01/2025,"€4,084.58",Deputy,"Guirke, Johnny",eghijknnoruy
7,PSA January 2025,31/01/2025,"€4,252.91",Deputy,"Harkin, Marian",aaahiikmnnrr
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Harris, Simon",ahiimnorrss
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Hayes, Eoin",aeehinosy
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"Healy, Séamus",aaehlmssuy
11,PSA January 2025,31/01/2025,"€4,478.75",Deputy,"Healy-Rae, Danny",aaadeehlnnryy
11/MIN,PSA January 2025,31/01/2025,"€4,478.75",Minister,"Healy-Rae, Michael",aaaceeehhillmry
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Hearne, Rory",aeehnorrry
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Heneghan, Barry",aabeeghhnnrry
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Heydon, Martin",adehimnnorty
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Higgins, Emer",eegghiimnrs
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"Kelly, Alan",aaeklllny
7,PSA January 2025,31/01/2025,"€4,252.92",Deputy,"Kenny, Eoghan",aeeghknnnoy
4,PSA January 2025,31/01/2025,"€4,168.25",Deputy,"Kenny, Martin",aeikmnnnrty
8,PSA January 2025,31/01/2025,"€4,309.58",Deputy,"Keogh, Kiera",aeeghikkor
5,PSA January 2025,31/01/2025,"€4,197.08",Deputy,"Kerrane, Claire",aaceeeiklnrrr
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"Lahart, John",aahhjlnort
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"Lawless, James",aaeejllmsssw
7,PSA January 2025,31/01/2025,"€4,252.92",Deputy,"Lawless, Paul",aaelllpssuw
4,PSA January 2025,31/01/2025,"€4,168.25",Deputy,"Lawlor, George",aeegglloorrw
5,PSA January 2025,31/01/2025,"€4,197.08",Deputy,"Lowry, Michael",acehillmorwy
8,PSA January 2025,31/01/2025,"€4,309.58",Deputy,"Mac Lochlainn, Padraig",aaaaccdghiillmnnopr
MIN,PSA January 2025,31/01/2025,"€1,333.33",Taoiseach,"Martin, Micheál",acehiilmmnrt
4,PSA January 2025,31/01/2025,"€4,168.25",Deputy,"Maxwell, David",aaddeillmvwx
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"McAuliffe, Paul",aaceffillmpuu
7,PSA January 2025,31/01/2025,"€4,252.92",Deputy,"McCarthy, Noel",accehlmnorty
MIN/8/MIN,PSA January 2025,31/01/2025,"€1,333.33",Minister,"McConalogue, Charlie",aaccceeghillmnooru
3,PSA January 2025,31/01/2025,"€4,084.58",Deputy,"McCormack, Tony",accckmmnoorty
Dublin,PSA January 2025,31/01/2025,"€2,445.83",Deputy,"McDonald, Mary Lou",aacddllmmnooruy
MIN,PSA January 2025,31/01/2025,"€1,333.33",Minster,"McEntee, Helen",ceeeeehlmnnt
6,PSA January 2025,31/01/2025,"€4,225.00",Deputy,"McGettigan, Donna",aacdeggimnnnott
