first_name,last_name,sitting_days_attendance,other_days_attendance,sitting_days_count,other_days_count,sitting_total_days
Ciarán,Ahern,23/01/2025,14/01/2025,65,55,120
Ciarán,Ahern,05/02/2025,15/01/2025,65,55,120
Ciarán,Ahern,06/02/2025,16/01/2025,65,55,120
Ciarán,Ahern,11/02/2025,17/01/2025,65,55,120
Ciarán,Ahern,12/02/2025,21/01/2025,65,55,120
Ciarán,Ahern,13/02/2025,28/01/2025,65,55,120
Ciarán,Ahern,18/02/2025,31/01/2025,65,55,120
Ciarán,Ahern,19/02/2025,04/02/2025,65,55,120
Ciarán,Ahern,20/02/2025,07/02/2025,65,55,120
Ciarán,Ahern,25/02/2025,14/02/2025,65,55,120
Ciarán,Ahern,26/02/2025,24/02/2025,65,55,120
Ciarán,Ahern,27/02/2025,28/02/2025,65,55,120
Ciarán,Ahern,04/03/2025,03/03/2025,65,55,120
Ciarán,Ahern,05/03/2025,10/03/2025,65,55,120
Ciarán,Ahern,06/03/2025,11/03/2025,65,55,120
Ciarán,Ahern,19/03/2025,12/03/2025,65,55,120
Ciarán,Ahern,20/03/2025,24/03/2025,65,55,120
Ciarán,Ahern,25/03/2025,31/03/2025,65,55,120
Ciarán,Ahern,26/03/2025,07/04/2025,65,55,120
Ciarán,Ahern,27/03/2025,12/05/2025,65,55,120
Ciarán,Ahern,01/04/2025,19/05/2025,65,55,120
Ciarán,Ahern,02/04/2025,23/05/2025,65,55,120
Ciarán,Ahern,03/04/2025,26/05/2025,65,55,120
Ciarán,Ahern,08/04/2025,03/06/2025,65,55,120
Ciarán,Ahern,09/04/2025,04/06/2025,65,55,120
Ciarán,Ahern,13/05/2025,05/06/2025,65,55,120
Ciarán,Ahern,14/05/2025,09/06/2025,65,55,120
Ciarán,Ahern,15/05/2025,20/06/2025,65,55,120
Ciarán,Ahern,20/05/2025,23/06/2025,65,55,120
Ciarán,Ahern,21/05/2025,27/06/2025,65,55,120
Ciarán,Ahern,22/05/2025,30/06/2025,65,55,120
Ciarán,Ahern,27/05/2025,07/07/2025,65,55,120
Ciarán,Ahern,28/05/2025,11/07/2025,65,55,120
Ciarán,Ahern,29/05/2025,14/07/2025,65,55,120
Ciarán,Ahern,10/06/2025,21/07/2025,65,55,120
Ciarán,Ahern,11/06/2025,22/07/2025,65,55,120
Ciarán,Ahern,12/06/2025,25/07/2025,65,55,120
Ciarán,Ahern,18/06/2025,05/08/2025,65,55,120
Ciarán,Ahern,19/06/2025,12/08/2025,65,55,120
Ciarán,Ahern,24/06/2025,13/08/2025,65,55,120
Ciarán,Ahern,25/06/2025,14/08/2025,65,55,120
